School,FG,FGA,3P,FT,FTA,ORB,TOV,DRB,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TOV,opp_DRB
Michigan 2016,947,2048,342,420,569,290,348,862,894,1995,251,387,534,308,432,882
Middle Tennessee 2016,909,2025,279,442,718,369,419,914,824,1902,232,530,794,312,469,901
North Carolina-Asheville 2016,898,1973,195,561,808,396,444,882,835,1954,205,438,627,359,528,845
North Carolina-Wilmington 2016,928,2039,230,534,760,397,374,840,758,1802,175,688,976,374,493,836
North Carolina 2016,1235,2560,224,617,826,568,431,1056,993,2384,308,505,725,441,510,841
Northern Iowa 2016,849,1864,298,479,633,195,357,896,850,2011,255,348,483,326,420,912
Notre Dame 2016,972,2042,262,498,671,381,359,884,930,2154,274,407,559,410,346,800
Oklahoma 2016,1018,2225,382,530,734,407,484,1011,953,2314,278,445,656,434,468,907
Oregon State 2016,811,1843,218,461,687,337,361,765,766,1788,226,486,699,364,430,816
Oregon 2016,1041,2230,260,648,906,442,431,940,931,2199,272,480,690,408,533,849
Pittsburgh 2016,878,1919,204,516,686,417,384,840,798,1844,222,402,608,310,379,712
Providence 2016,881,2093,249,566,781,402,397,861,909,2067,221,416,578,370,508,923
Purdue 2016,960,2042,268,538,723,400,419,1043,824,2106,219,414,591,315,325,759
Saint Joseph's 2016,976,2153,251,577,806,359,355,1019,924,2218,286,388,555,351,410,926
Seton Hall 2016,892,1999,206,532,808,438,469,917,814,2027,212,465,685,408,469,823
South Dakota State 2016,877,1950,255,582,783,381,399,898,789,1888,207,531,736,311,411,791
Southern California 2016,982,2138,266,507,750,401,415,936,924,2214,248,441,627,430,414,849
Southern 2016,909,2046,211,505,754,365,391,893,832,2001,234,508,764,413,482,898
Stephen F. Austin 2016,972,2032,269,515,701,405,411,783,764,1745,174,451,680,335,631,764
Stony Brook 2016,933,1992,220,429,637,425,379,887,770,1887,212,363,506,301,418,757
Syracuse 2016,884,2080,315,506,736,445,440,874,877,2127,259,396,595,471,491,886
Temple 2016,822,2021,255,368,538,371,305,854,809,1952,196,416,561,358,355,904
Texas A&M 2016,991,2208,281,565,841,460,434,1001,862,2117,283,451,685,396,534,900
Texas Tech 2016,785,1754,185,550,741,326,385,760,783,1828,246,424,601,360,401,720
Texas 2016,814,1884,232,495,743,363,341,776,775,1844,209,494,707,362,408,821
Tulsa 2016,821,1849,219,495,731,323,346,800,757,1819,241,472,629,347,450,838
