School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Toledo,862,2027,246,415,634,463,1241,523
Towson,773,1753,244,441,639,377,1079,341
Troy,763,1629,240,356,528,354,1082,416
Tulane,677,1594,174,382,552,296,1032,448
Tulsa,688,1644,161,464,667,287,952,381
UCLA,723,1734,196,421,601,322,1044,452
Utah State,863,2078,231,443,664,442,1210,400
Utah Valley,797,1923,197,399,579,354,1156,398
Utah,780,1661,222,379,554,312,1063,336
Valparaiso,787,1860,194,455,661,343,1073,394
Vanderbilt NCAA,861,2055,206,411,587,407,1189,451
Vermont NCAA,783,1930,191,436,643,387,1155,452
Villanova,781,1886,230,466,654,381,1114,377
Virginia Commonwealth NCAA,762,1796,174,456,660,393,1268,644
VMI,979,2027,201,501,718,414,1305,536
Virginia Tech,733,1757,155,436,627,381,1124,415
Virginia NCAA,636,1589,149,314,495,266,946,413
Wagner,649,1592,137,558,767,357,1054,532
Wake Forest,791,1795,219,381,552,371,1125,375
Washington State,839,1969,257,486,723,385,1142,435
Washington,866,2053,203,518,789,412,1223,482
Weber State,780,1824,229,421,605,326,1079,395
West Virginia NCAA,815,1816,179,385,567,331,1043,444
Western Carolina,852,1883,224,531,799,387,1240,531
Western Illinois,707,1612,198,373,516,270,1017,435
Western Kentucky NCAA,839,1940,163,542,755,395,1264,510
Western Michigan,837,1965,230,471,674,376,1112,364
Wichita State NCAA,729,1856,186,416,603,321,1034,422
William & Mary,799,1764,205,417,604,330,1113,312
Winthrop,704,1583,217,487,686,283,1051,447
Wisconsin NCAA,708,1819,129,370,542,331,1122,388
Wofford,752,1726,195,388,564,284,1037,373
Wright State,659,1452,203,446,661,265,1045,520
Wyoming,642,1564,161,410,580,274,1000,471
Xavier NCAA,828,2062,224,542,732,397,1228,452
Yale,676,1619,162,364,527,278,946,370
Youngstown State,739,1718,200,369,549,364,1129,404
