Team,Team_1,win,SOS,SOS-1,efg%,def_efg%,tov%,def_tov%,orb%,drb%,ft%,def_ft%,efg%-1,def_efg%-1,tov%-1,def_tov%-1,orb%-1,drb%-1,ft%-1,def_ft%-1
Clemson_2018,New_Mexico_State_2018,1,9.25,-1.1,0.529,0.472,0.136,0.138,0.247,1.526,0.253,0.701,0.519,0.455,0.137,0.155,0.305,1.142,0.184,0.711
Gonzaga_2018,North_Carolina-Greensboro_2018,1,2.59,-3.87,0.57,0.471,0.123,0.139,0.274,1.323,0.227,0.716,0.525,0.47,0.155,0.175,0.319,1.067,0.185,0.725
Seton_Hall_2018,North_Carolina_2018,1,10.11,11.78,0.529,0.503,0.134,0.139,0.318,1.072,0.246,0.724,0.52,0.501,0.126,0.13,0.325,1.036,0.208,0.687
Gonzaga_2018,Ohio_State_2018,1,2.59,9.03,0.57,0.471,0.123,0.139,0.274,1.323,0.227,0.716,0.541,0.487,0.133,0.142,0.265,1.386,0.227,0.702
Rhode_Island_2018,Oklahoma_2018,1,4.61,10.56,0.511,0.503,0.117,0.175,0.33,1.016,0.209,0.734,0.535,0.51,0.135,0.132,0.274,1.323,0.247,0.703
Kansas_2018,Pennsylvania_2018,1,11.87,-3.17,0.575,0.491,0.132,0.143,0.268,1.366,0.191,0.713,0.533,0.463,0.131,0.136,0.228,1.689,0.22,0.734
Texas_A&M_2018,Providence_2018,1,10.62,10.23,0.514,0.469,0.145,0.12,0.296,1.19,0.212,0.688,0.496,0.503,0.132,0.148,0.294,1.199,0.272,0.731
Villanova_2018,Radford_2018,1,10.24,-4.08,0.595,0.485,0.119,0.144,0.265,1.389,0.229,0.747,0.494,0.501,0.144,0.159,0.333,1.002,0.222,0.751
Duke_2018,Rhode_Island_2018,1,9.71,4.61,0.559,0.464,0.13,0.135,0.324,1.044,0.246,0.728,0.511,0.503,0.117,0.175,0.33,1.016,0.209,0.734
Houston_2018,San_Diego_State_2018,1,4.16,3.91,0.533,0.455,0.132,0.146,0.299,1.173,0.234,0.703,0.519,0.482,0.129,0.153,0.291,1.217,0.255,0.727
Kansas_2018,Seton_Hall_2018,1,11.87,10.11,0.575,0.491,0.132,0.143,0.268,1.366,0.191,0.713,0.529,0.503,0.134,0.139,0.318,1.072,0.246,0.724
Ohio_State_2018,South_Dakota_State_2018,1,9.03,-0.38,0.541,0.487,0.133,0.142,0.265,1.386,0.227,0.702,0.554,0.492,0.108,0.117,0.226,1.708,0.269,0.718
Florida_2018,St._Bonaventure_2018,1,10.08,2.61,0.507,0.486,0.109,0.154,0.306,1.137,0.234,0.731,0.516,0.49,0.124,0.155,0.285,1.256,0.305,0.715
Texas_Tech_2018,Stephen_F._Austin_2018,1,9.6,-6.46,0.52,0.463,0.135,0.167,0.297,1.182,0.276,0.703,0.544,0.496,0.158,0.205,0.32,1.064,0.28,0.688
Texas_Christian_2018,Syracuse_2018,0,9.68,10.02,0.566,0.523,0.137,0.138,0.304,1.145,0.241,0.731,0.469,0.462,0.141,0.149,0.315,1.088,0.298,0.731
Michigan_State_2018,Syracuse_2018,0,7.1,10.02,0.569,0.427,0.145,0.112,0.279,1.294,0.268,0.728,0.469,0.462,0.141,0.149,0.315,1.088,0.298,0.731
Duke_2018,Syracuse_2018,1,9.71,10.02,0.559,0.464,0.13,0.135,0.324,1.044,0.246,0.728,0.469,0.462,0.141,0.149,0.315,1.088,0.298,0.731
North_Carolina_2018,Texas_A&M_2018,0,11.78,10.62,0.52,0.501,0.126,0.13,0.325,1.036,0.208,0.687,0.514,0.469,0.145,0.12,0.296,1.19,0.212,0.688
Xavier_2018,Texas_Southern_2018,1,9.45,-5.53,0.559,0.499,0.132,0.127,0.253,1.474,0.32,0.76,0.505,0.512,0.131,0.123,0.283,1.268,0.311,0.667
Villanova_2018,Texas_Tech_2018,1,10.24,9.6,0.595,0.485,0.119,0.144,0.265,1.389,0.229,0.747,0.52,0.463,0.135,0.167,0.297,1.182,0.276,0.703
Purdue_2018,Texas_Tech_2018,0,8.74,9.6,0.577,0.47,0.123,0.141,0.24,1.582,0.265,0.689,0.52,0.463,0.135,0.167,0.297,1.182,0.276,0.703
Nevada_2018,Texas_2018,1,4.93,10.67,0.548,0.494,0.105,0.139,0.258,1.441,0.269,0.709,0.5,0.483,0.13,0.142,0.294,1.2,0.219,0.712
Michigan_2018,Villanova_2018,0,9.41,10.24,0.545,0.476,0.11,0.155,0.246,1.534,0.203,0.721,0.595,0.485,0.119,0.144,0.265,1.389,0.229,0.747
Villanova_2018,West_Virginia_2018,1,10.24,9.36,0.595,0.485,0.119,0.144,0.265,1.389,0.229,0.747,0.504,0.499,0.119,0.178,0.366,0.865,0.24,0.712
Marshall_2018,West_Virginia_2018,0,0.44,9.36,0.548,0.497,0.138,0.143,0.224,1.734,0.256,0.681,0.504,0.499,0.119,0.178,0.366,0.865,0.24,0.712
Tennessee_2018,Wright_State_2018,1,10.12,-3.64,0.508,0.467,0.134,0.155,0.32,1.062,0.269,0.71,0.491,0.483,0.143,0.173,0.28,1.288,0.256,0.71
Creighton_2012,Alabama_2012,1,3.41,7.18,0.578,0.496,0.136,0.12,0.284,1.262,0.276,0.675,0.491,0.437,0.153,0.157,0.33,1.014,0.257,0.645
Xavier_2012,Baylor_2012,0,6.22,8.03,0.497,0.456,0.138,0.139,0.32,1.065,0.287,0.74,0.528,0.473,0.152,0.159,0.367,0.862,0.266,0.687
Kentucky_2012,Baylor_2012,1,7.93,8.03,0.538,0.42,0.123,0.134,0.327,1.031,0.302,0.694,0.528,0.473,0.152,0.159,0.367,0.862,0.266,0.687
Georgetown_2012,Belmont_2012,1,7.69,-1.22,0.519,0.433,0.147,0.15,0.331,1.01,0.27,0.68,0.558,0.481,0.133,0.159,0.348,0.935,0.282,0.657
Marquette_2012,Brigham_Young_2012,1,7.5,1.55,0.501,0.454,0.139,0.176,0.36,0.888,0.295,0.685,0.521,0.471,0.141,0.17,0.312,1.105,0.257,0.666
