"","X","Team","FG","FGA","X3P","FT","FTA","ORB","DRB","TOV","Opp.FG","Opp.FGA","Opp.3P","Opp.FT","Opp.FTA","Opp.ORB","Opp.DRB","Opp.TOV","Win.","eFG","OeFG","TOVp","oTOVp","ORBp","DRBp","FTp","oFTp"
"302",1236,"valparaiso",21,58,4,33,37,12,27,10,20,54,10,15,24,11,20,15,1,0.397,0.463,0.095,0.161,0.375,0.574,0.569,0.569
"303",1470,"lafayette",19,65,6,4,7,4,22,13,33,67,15,7,12,9,41,8,0,0.338,0.604,0.152,0.091,0.089,0.349,0.062,0.062
"304",1629,"villanova",33,67,15,7,12,9,41,8,19,65,6,4,7,4,22,13,1,0.604,0.338,0.091,0.152,0.29,0.651,0.104,0.104
"305",1237,"north-carolina-asheville",25,53,6,9,14,5,17,13,31,56,6,12,19,10,24,14,0,0.528,0.607,0.162,0.157,0.172,0.415,0.17,0.17
"306",1351,"virginia-commonwealth",31,56,6,12,19,10,24,14,25,53,6,9,14,5,17,13,1,0.607,0.528,0.157,0.162,0.37,0.585,0.214,0.214
"307",1471,"maine",24,67,9,10,14,3,29,11,30,66,7,13,17,8,32,10,0,0.425,0.508,0.119,0.107,0.086,0.475,0.149,0.149
"308",1352,"virginia-tech",30,66,7,13,17,8,32,10,24,67,9,10,14,3,29,11,1,0.508,0.425,0.107,0.119,0.216,0.525,0.197,0.197
"309",1353,"radford",24,67,6,5,10,14,23,18,32,65,5,11,17,11,28,16,0,0.403,0.531,0.189,0.163,0.333,0.451,0.075,0.075
"310",1538,"wake-forest",32,65,5,11,17,11,28,16,24,67,6,5,10,14,23,18,1,0.531,0.403,0.163,0.189,0.324,0.549,0.169,0.169
"311",1354,"montana-state",22,75,12,9,10,9,24,8,20,47,5,24,34,6,36,17,0,0.373,0.479,0.086,0.173,0.2,0.4,0.12,0.12
"312",1238,"washington-state",20,47,5,24,34,6,36,17,22,75,12,9,10,9,24,8,1,0.479,0.373,0.173,0.086,0.2,0.6,0.511,0.511
"313",1472,"antelope-valley",25,71,10,5,7,10,15,14,48,69,16,16,23,10,35,10,0,0.423,0.812,0.151,0.098,0.222,0.3,0.07,0.07
"314",1355,"weber-state",48,69,16,16,23,10,35,10,25,71,10,5,7,10,15,14,1,0.812,0.423,0.098,0.151,0.4,0.7,0.232,0.232
"315",1539,"mount-st-marys",19,54,7,14,20,7,20,21,32,67,6,17,29,16,26,13,0,0.417,0.522,0.22,0.119,0.212,0.435,0.259,0.259
"316",1630,"west-virginia",32,67,6,17,29,16,26,13,19,54,7,14,20,7,20,21,1,0.522,0.417,0.119,0.22,0.444,0.565,0.254,0.254
"317",1724,"marygrove",23,60,10,18,27,5,28,24,31,79,4,24,42,24,33,15,0,0.467,0.418,0.215,0.11,0.132,0.459,0.3,0.3
"318",1631,"western-michigan",31,79,4,24,42,24,33,15,23,60,10,18,27,5,28,24,1,0.418,0.467,0.11,0.215,0.462,0.541,0.304,0.304
"319",1632,"south-carolina-state",14,52,3,8,11,5,17,19,30,63,4,21,29,13,34,10,0,0.298,0.508,0.23,0.098,0.128,0.333,0.154,0.154
"320",191,"wichita-state",30,63,4,21,29,13,34,10,14,52,3,8,11,5,17,19,1,0.508,0.298,0.098,0.23,0.433,0.667,0.333,0.333
"321",1540,"central-arkansas",15,53,6,11,18,11,16,11,25,53,11,18,23,12,29,11,0,0.34,0.575,0.133,0.126,0.275,0.356,0.208,0.208
"322",1813,"wisconsin",25,53,11,18,23,12,29,11,15,53,6,11,18,11,16,11,1,0.575,0.34,0.126,0.133,0.429,0.644,0.34,0.34
"323",1356,"western-state",18,56,6,7,12,9,18,13,31,59,14,12,18,7,28,11,0,0.375,0.644,0.16,0.124,0.243,0.391,0.125,0.125
"324",1633,"wyoming",31,59,14,12,18,7,28,11,18,56,6,7,12,9,18,13,1,0.644,0.375,0.124,0.16,0.28,0.609,0.203,0.203
"325",1115,"lehigh",29,58,9,14,17,9,14,20,32,62,4,16,19,11,20,17,0,0.578,0.548,0.21,0.173,0.31,0.412,0.241,0.241
"326",1116,"xavier",32,62,4,16,19,11,20,17,29,58,9,14,17,9,14,20,1,0.548,0.578,0.173,0.21,0.44,0.588,0.258,0.258
"327",21,"central-baptist",18,55,8,21,30,9,20,16,33,59,10,21,28,10,32,12,0,0.4,0.644,0.158,0.121,0.22,0.385,0.382,0.382
"328",1634,"arkansas-little-rock",33,59,10,21,28,10,32,12,18,55,8,21,30,9,20,16,1,0.644,0.4,0.121,0.158,0.333,0.615,0.356,0.356
"329",1725,"northwest-university",17,61,3,9,13,9,16,15,27,52,8,23,35,14,33,18,0,0.303,0.596,0.168,0.171,0.214,0.327,0.148,0.148
"330",1635,"boise-state",27,52,8,23,35,14,33,18,17,61,3,9,13,9,16,15,1,0.596,0.303,0.171,0.168,0.467,0.673,0.442,0.442
"331",1473,"northern-colorado",16,46,4,16,28,6,17,19,32,60,9,16,21,8,25,12,0,0.391,0.608,0.203,0.128,0.194,0.405,0.348,0.348
"332",1541,"butler",32,60,9,16,21,8,25,12,16,46,4,16,28,6,17,19,1,0.608,0.391,0.128,0.203,0.32,0.595,0.267,0.267
"333",1357,"san-diego-christian",15,44,6,18,23,1,11,20,38,59,9,11,16,11,24,14,0,0.409,0.72,0.229,0.157,0.04,0.314,0.409,0.409
"334",1474,"cal-state-bakersfield",38,59,9,11,16,11,24,14,15,44,6,18,23,1,11,20,1,0.72,0.409,0.157,0.229,0.5,0.686,0.186,0.186
"335",1542,"nebraska-omaha",24,60,9,17,21,10,25,15,24,60,5,7,9,9,26,18,1,0.475,0.442,0.156,0.206,0.278,0.49,0.283,0.283
"336",1636,"california-santa-barbara",24,60,5,7,9,9,26,18,24,60,9,17,21,10,25,15,0,0.442,0.475,0.206,0.156,0.265,0.51,0.117,0.117
"337",1239,"illinois-tech",29,60,4,27,32,6,26,20,34,64,12,17,25,7,24,15,0,0.517,0.625,0.178,0.144,0.2,0.52,0.45,0.45
"338",1475,"chicago-state",34,64,12,17,25,7,24,15,29,60,4,27,32,6,26,20,1,0.625,0.517,0.144,0.178,0.212,0.48,0.266,0.266
"339",1476,"kent-state",27,65,6,19,28,14,22,13,21,49,12,20,29,8,15,16,1,0.462,0.551,0.122,0.169,0.483,0.595,0.292,0.292
"340",1543,"cleveland-state",21,49,12,20,29,8,15,16,27,65,6,19,28,14,22,13,0,0.551,0.462,0.169,0.122,0.267,0.405,0.408,0.408
"341",1544,"appalachian-state",23,59,7,21,30,11,23,14,30,63,9,17,23,12,26,11,0,0.449,0.548,0.135,0.113,0.297,0.469,0.356,0.356
"342",1358,"davidson",30,63,9,17,23,12,26,11,23,59,7,21,30,11,23,14,1,0.548,0.449,0.113,0.135,0.343,0.531,0.27,0.27
"343",1359,"jacksonville",26,48,10,30,41,7,24,15,27,57,12,18,28,10,23,18,1,0.646,0.579,0.144,0.174,0.233,0.511,0.625,0.625
"344",1240,"denver",27,57,12,18,28,10,23,18,26,48,10,30,41,7,24,15,0,0.579,0.646,0.174,0.144,0.294,0.489,0.316,0.316
"345",1117,"grand-canyon",26,62,3,6,12,8,19,21,32,60,11,21,31,9,29,15,0,0.444,0.625,0.22,0.141,0.216,0.396,0.097,0.097
"346",1241,"duke",32,60,11,21,31,9,29,15,26,62,3,6,12,8,19,21,1,0.625,0.444,0.141,0.22,0.321,0.604,0.35,0.35
"347",1477,"charleston-southern",24,60,7,12,19,7,21,15,33,67,7,15,19,11,29,10,0,0.458,0.545,0.159,0.104,0.194,0.42,0.2,0.2
"348",14112,"florida-state",33,67,7,15,19,11,29,10,24,60,7,12,19,7,21,15,1,0.545,0.458,0.104,0.159,0.344,0.58,0.224,0.224
"349",1360,"towson",24,56,3,16,23,12,25,16,22,53,4,13,20,10,19,16,1,0.455,0.453,0.168,0.179,0.387,0.568,0.286,0.286
"350",1478,"george-mason",22,53,4,13,20,10,19,16,24,56,3,16,23,12,25,16,0,0.453,0.455,0.179,0.168,0.286,0.432,0.245,0.245
"351",1242,"south-carolina-upstate",21,57,6,12,28,20,13,25,36,54,9,24,32,5,22,14,0,0.421,0.75,0.226,0.139,0.476,0.371,0.211,0.211
"352",1637,"georgetown",36,54,9,24,32,5,22,14,21,57,6,12,28,20,13,25,1,0.75,0.421,0.139,0.226,0.278,0.629,0.444,0.444
"353",204,"northland",16,58,10,7,12,7,21,23,28,54,8,20,32,6,33,17,0,0.362,0.593,0.246,0.164,0.175,0.389,0.121,0.121
"354",1545,"green-bay",28,54,8,20,32,6,33,17,16,58,10,7,12,7,21,23,1,0.593,0.362,0.164,0.246,0.222,0.611,0.37,0.37
