,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
102,Georgia_1997,33,24,9,.727,13.00,6.94,,10,6,,,,,,,,2376,2176,,,803,1833,.438,261,716,.365,509,778,.654,494,1276,472,200,122,510,631
119,Illinois State_1997,30,24,6,.800,10.81,2.28,,14,4,,,,,,,,2226,1970,,,793,1749,.453,193,542,.356,447,670,.667,407,1169,527,214,108,465,587
120,Illinois_1997,32,22,10,.688,15.64,7.79,,11,7,,,,,,,,2448,2197,,,848,1917,.442,238,632,.377,514,691,.744,398,1076,515,249,63,434,663
122,Indiana_1997,33,22,11,.667,13.95,9.40,,9,9,,,,,,,,2397,2247,,,772,1764,.438,179,479,.374,674,880,.766,388,1183,459,212,131,507,593
124,Iowa State_1997,31,22,9,.710,13.43,6.30,,10,6,,,,,,,,2093,1872,,,746,1645,.453,149,372,.401,452,689,.656,366,1102,482,177,160,440,441
125,Iowa_1997,32,22,10,.688,16.84,8.90,,12,6,,,,,,,,2314,2038,,,813,1711,.475,184,464,.397,504,719,.701,435,1231,469,241,130,499,498
126,Jackson State_1997,30,14,16,.467,-11.49,-7.46,,9,5,,,,,,,,2139,2248,,,777,1800,.432,133,430,.309,452,737,.613,454,1160,406,251,98,573,685
133,Kansas_1997,36,34,2,.944,26.60,7.94,,15,1,,,,,,,,3058,2380,,,1084,2222,.488,192,506,.379,698,1007,.693,556,1532,598,351,222,571,674
135,Kentucky_1997,40,35,5,.875,29.23,9.20,,13,3,,,,,,,,3325,2512,,,1238,2631,.471,287,777,.369,562,824,.682,641,1575,776,480,203,589,802
142,Long Island University_1997,30,21,9,.700,3.76,-4.20,,15,3,,,,,,,,2746,2507,,,999,2297,.435,301,895,.336,447,721,.620,519,1360,507,396,83,383,635
147,Louisville_1997,35,26,9,.743,12.01,7.76,,9,5,,,,,,,,2631,2482,,,908,2027,.448,234,706,.331,581,847,.686,499,1254,537,307,93,563,708
156,Marquette_1997,31,22,9,.710,13.44,3.18,,9,5,,,,,,,,2109,1791,,,750,1704,.440,191,564,.339,418,658,.635,416,1206,448,227,180,464,515
160,Maryland_1997,32,21,11,.656,17.74,9.30,,9,7,,,,,,,,2406,2136,,,836,1800,.464,118,378,.312,616,904,.681,398,1226,518,274,112,542,600
161,Massachusetts_1997,33,19,14,.576,10.63,9.13,,11,5,,,,,,,,2192,2133,,,813,1890,.430,155,462,.335,411,613,.670,480,1243,487,226,165,442,642
