,School,SRS,SOS,DRB,oEFG,dEFG,oTOV,dTOV,oREB,dREB,oFT,dFT
141,Connecticut_2012,12.27,8.07,736,0.5,0.446,0.28,0.296,0.363,0.617,0.229,0.186
142,Creighton_2012,12.92,3.41,833,0.578,0.496,0.267,0.273,0.308,0.717,0.276,0.198
143,Davidson_2012,7.26,-1.68,752,0.511,0.473,0.257,0.259,0.354,0.705,0.283,0.277
144,Detroit Mercy_2012,2.4,-0.01,690,0.491,0.503,0.256,0.301,0.358,0.644,0.312,0.263
145,Duke_2012,17.05,8.4,746,0.528,0.471,0.245,0.285,0.347,0.654,0.316,0.227
146,Florida State_2012,14.53,7.62,771,0.512,0.437,0.311,0.306,0.35,0.642,0.246,0.245
147,Florida_2012,18.25,7.33,764,0.548,0.478,0.27,0.3,0.335,0.661,0.237,0.207
148,Georgetown_2012,16.81,7.69,741,0.519,0.433,0.277,0.287,0.358,0.673,0.27,0.243
149,Gonzaga_2012,13.86,3.25,736,0.535,0.466,0.259,0.312,0.346,0.689,0.33,0.185
150,Harvard_2012,7.84,-1.56,661,0.529,0.456,0.276,0.312,0.303,0.708,0.307,0.197
151,Indiana_2012,18.63,7.8,747,0.552,0.481,0.259,0.293,0.353,0.656,0.34,0.241
152,Iona_2012,8.36,-1.82,689,0.565,0.511,0.286,0.326,0.321,0.645,0.216,0.2
153,Iowa State_2012,13.32,7.32,802,0.526,0.486,0.267,0.301,0.323,0.717,0.266,0.185
154,Kansas State_2012,14.47,7.53,658,0.489,0.46,0.271,0.295,0.407,0.631,0.29,0.288
155,Kansas_2012,21.72,9.93,919,0.523,0.434,0.27,0.298,0.349,0.687,0.275,0.239
156,Kentucky_2012,24.73,7.93,973,0.538,0.42,0.243,0.301,0.371,0.666,0.302,0.179
157,Lamar_2012,2.41,-3.77,791,0.469,0.466,0.247,0.3,0.378,0.673,0.295,0.223
158,Lehigh_2012,4.27,-5.14,718,0.507,0.467,0.252,0.302,0.317,0.661,0.291,0.239
159,Cal State Long Beach_2012,9.52,0.87,750,0.527,0.475,0.263,0.332,0.347,0.668,0.281,0.189
160,Long Island University_2012,-1.34,-5.1,771,0.532,0.494,0.265,0.324,0.342,0.621,0.363,0.153
161,Louisville_2012,16.19,9.02,905,0.473,0.433,0.288,0.309,0.357,0.64,0.249,0.227
162,Loyola (MD)_2012,0.37,-2.72,614,0.472,0.478,0.269,0.289,0.381,0.628,0.309,0.275
163,Marquette_2012,16.92,7.5,735,0.501,0.454,0.263,0.323,0.339,0.611,0.295,0.21
164,Memphis_2012,16.86,5.26,761,0.54,0.434,0.265,0.284,0.313,0.642,0.296,0.266
165,Michigan State_2012,21.32,9.82,882,0.527,0.433,0.278,0.289,0.361,0.708,0.264,0.242
166,Michigan_2012,13.19,8.98,676,0.532,0.485,0.298,0.308,0.28,0.673,0.204,0.212
167,Mississippi Valley State_2012,-8.03,-7.65,696,0.463,0.496,0.295,0.296,0.339,0.643,0.225,0.276
168,Missouri_2012,19.77,5.68,706,0.58,0.501,0.248,0.326,0.304,0.65,0.287,0.185
169,Montana_2012,4.55,-3.39,663,0.52,0.454,0.272,0.298,0.283,0.657,0.285,0.268
170,Murray State_2012,8.74,-2.6,659,0.537,0.457,0.273,0.321,0.349,0.633,0.318,0.229
171,Nevada-Las Vegas_2012,13.55,4.37,819,0.527,0.465,0.28,0.307,0.328,0.681,0.241,0.229
172,New Mexico State_2012,8.73,0.08,834,0.515,0.481,0.251,0.304,0.411,0.686,0.346,0.218
173,New Mexico_2012,15.6,3.34,821,0.531,0.44,0.278,0.313,0.347,0.701,0.279,0.211
174,Norfolk State_2012,-3.68,-5.39,765,0.49,0.463,0.283,0.282,0.342,0.64,0.275,0.255
175,North Carolina-Asheville_2012,3.06,-2.72,716,0.541,0.504,0.253,0.304,0.344,0.633,0.358,0.237
176,North Carolina State_2012,12.1,6.8,825,0.504,0.471,0.274,0.286,0.358,0.666,0.255,0.228
177,North Carolina_2012,21.34,7.07,1022,0.498,0.45,0.246,0.328,0.391,0.706,0.254,0.148
178,Notre Dame_2012,11.18,6.47,705,0.495,0.458,0.252,0.3,0.305,0.649,0.263,0.18
179,Ohio State_2012,23.95,9.07,898,0.521,0.464,0.257,0.329,0.349,0.733,0.27,0.203
180,Ohio_2012,7.17,0.17,685,0.494,0.465,0.281,0.31,0.339,0.622,0.245,0.299
181,Purdue_2012,13.88,8.05,648,0.511,0.499,0.235,0.291,0.318,0.648,0.224,0.236
182,Saint Louis_2012,15.15,4.06,648,0.515,0.454,0.269,0.309,0.316,0.677,0.259,0.266
183,Saint Mary's (CA)_2012,11.26,0.78,774,0.541,0.477,0.262,0.3,0.359,0.722,0.281,0.194
184,San Diego State_2012,9.04,3.79,793,0.505,0.466,0.274,0.307,0.315,0.712,0.259,0.196
185,South Dakota State_2012,7.34,-1.87,715,0.54,0.5,0.243,0.309,0.312,0.686,0.29,0.2
186,South Florida_2012,9.2,7.29,741,0.485,0.434,0.309,0.287,0.342,0.665,0.239,0.223
187,Southern Mississippi_2012,7.79,3.61,662,0.469,0.495,0.246,0.293,0.372,0.692,0.29,0.29
188,St. Bonaventure_2012,8.25,2.84,686,0.508,0.471,0.276,0.277,0.355,0.677,0.32,0.266
189,Syracuse_2012,21.12,8.02,722,0.521,0.442,0.262,0.324,0.363,0.572,0.23,0.209
190,Temple_2012,10.44,4.94,686,0.531,0.483,0.281,0.291,0.315,0.653,0.246,0.233
191,Texas_2012,14.0,8.12,665,0.485,0.469,0.255,0.272,0.385,0.619,0.312,0.281
192,Vanderbilt_2012,15.71,8.04,764,0.541,0.469,0.273,0.303,0.316,0.652,0.28,0.2
193,Vermont_2012,0.98,-5.19,765,0.493,0.455,0.277,0.292,0.343,0.664,0.276,0.226
194,Virginia Commonwealth_2012,8.79,0.63,676,0.476,0.473,0.263,0.331,0.334,0.632,0.249,0.254
195,Virginia_2012,12.51,4.23,691,0.507,0.447,0.284,0.313,0.271,0.722,0.256,0.198
196,West Virginia_2012,12.13,7.53,642,0.483,0.498,0.267,0.305,0.409,0.66,0.259,0.212
197,Western Kentucky_2012,-2.66,0.51,724,0.444,0.474,0.288,0.287,0.341,0.647,0.276,0.279
198,Wichita State_2012,17.42,3.8,798,0.543,0.443,0.276,0.292,0.335,0.713,0.26,0.224
199,Wisconsin_2012,19.04,8.24,763,0.501,0.425,0.263,0.294,0.306,0.697,0.227,0.203
200,Xavier_2012,9.59,6.22,805,0.497,0.456,0.261,0.276,0.313,0.67,0.287,0.263
201,Akron_2013,8.11,0.18,720,0.516,0.443,0.287,0.294,0.377,0.668,0.233,0.245
202,Albany (NY)_2013,-0.87,-4.53,677,0.496,0.483,0.286,0.315,0.317,0.676,0.295,0.182
203,Arizona_2013,17.3,7.47,779,0.525,0.466,0.28,0.298,0.35,0.708,0.28,0.234
204,Belmont_2013,10.37,-0.96,660,0.567,0.477,0.296,0.319,0.299,0.632,0.24,0.264
205,Boise State_2013,9.44,5.27,665,0.53,0.502,0.282,0.283,0.315,0.735,0.249,0.287
206,Bucknell_2013,6.95,-1.96,834,0.496,0.425,0.248,0.265,0.293,0.735,0.268,0.205
207,Butler_2013,10.99,6.08,794,0.512,0.468,0.28,0.271,0.363,0.711,0.268,0.25
208,University of California_2013,10.65,7.77,773,0.48,0.443,0.294,0.272,0.325,0.668,0.223,0.223
209,Cincinnati_2013,14.46,6.93,731,0.462,0.433,0.277,0.299,0.387,0.666,0.229,0.218
210,Colorado State_2013,13.65,5.89,804,0.495,0.477,0.238,0.265,0.412,0.741,0.312,0.249
211,Colorado_2013,11.95,7.95,750,0.483,0.459,0.273,0.319,0.336,0.669,0.281,0.175
212,Creighton_2013,16.44,5.16,872,0.582,0.459,0.289,0.291,0.288,0.708,0.26,0.178
213,Davidson_2013,7.27,-3.45,742,0.532,0.452,0.256,0.277,0.29,0.693,0.309,0.264
214,Duke_2013,21.43,9.54,782,0.539,0.455,0.245,0.3,0.288,0.653,0.289,0.237
215,Florida Gulf Coast_2013,2.76,-2.07,814,0.521,0.465,0.298,0.31,0.322,0.646,0.235,0.228
216,Florida_2013,23.86,6.83,798,0.552,0.433,0.281,0.324,0.334,0.69,0.21,0.195
217,Georgetown_2013,15.84,7.59,662,0.511,0.43,0.288,0.305,0.304,0.659,0.25,0.235
218,Gonzaga_2013,20.47,4.18,786,0.555,0.449,0.251,0.315,0.378,0.678,0.283,0.2
219,Harvard_2013,3.95,0.16,577,0.542,0.488,0.267,0.311,0.26,0.656,0.354,0.225
220,Illinois_2013,13.23,10.08,671,0.479,0.485,0.28,0.299,0.331,0.631,0.225,0.251
221,Indiana_2013,24.9,8.38,831,0.548,0.44,0.255,0.322,0.39,0.66,0.341,0.191
222,Iona_2013,4.04,-0.02,699,0.521,0.516,0.275,0.293,0.328,0.626,0.255,0.215
223,Iowa State_2013,14.5,6.13,816,0.538,0.48,0.285,0.288,0.342,0.69,0.241,0.237
224,James Madison_2013,-1.73,-2.28,699,0.476,0.487,0.264,0.286,0.296,0.655,0.257,0.273
225,Kansas State_2013,13.53,6.53,675,0.495,0.466,0.28,0.302,0.387,0.643,0.216,0.248
226,Kansas_2013,20.79,7.54,955,0.533,0.415,0.28,0.286,0.338,0.687,0.291,0.22
227,La Salle_2013,10.14,4.46,626,0.519,0.493,0.281,0.32,0.29,0.623,0.231,0.194
228,Liberty_2013,-9.13,-5.8,797,0.493,0.473,0.277,0.245,0.297,0.647,0.288,0.263
229,Long Island University_2013,-3.21,-5.8,679,0.544,0.526,0.264,0.288,0.352,0.628,0.315,0.214
230,Louisville_2013,24.81,9.13,854,0.506,0.448,0.259,0.333,0.382,0.646,0.283,0.23
231,Marquette_2013,14.04,8.58,698,0.496,0.462,0.277,0.295,0.383,0.632,0.299,0.216
232,Memphis_2013,12.26,2.7,805,0.524,0.455,0.288,0.305,0.356,0.661,0.246,0.236
233,Miami (FL)_2013,16.99,7.88,822,0.519,0.457,0.263,0.301,0.306,0.693,0.236,0.184
234,Michigan State_2013,18.64,10.55,820,0.505,0.441,0.29,0.295,0.364,0.699,0.264,0.213
235,Michigan_2013,21.28,10.05,830,0.549,0.478,0.267,0.326,0.327,0.677,0.199,0.154
236,Middle Tennessee_2013,11.16,-1.52,740,0.511,0.444,0.275,0.296,0.365,0.685,0.288,0.271
237,Minnesota_2013,16.83,10.31,685,0.493,0.456,0.275,0.284,0.436,0.631,0.285,0.255
238,Mississippi_2013,14.42,4.14,785,0.491,0.464,0.238,0.313,0.336,0.645,0.263,0.206
239,Missouri_2013,15.41,6.0,812,0.512,0.461,0.278,0.289,0.387,0.685,0.261,0.203
240,Montana_2013,-1.11,-4.21,657,0.532,0.481,0.273,0.28,0.259,0.663,0.305,0.248
241,Nevada-Las Vegas_2013,12.92,5.71,863,0.492,0.439,0.283,0.301,0.338,0.705,0.262,0.204
242,New Mexico State_2013,5.11,0.7,806,0.493,0.45,0.272,0.297,0.373,0.684,0.303,0.217
243,New Mexico_2013,13.28,6.63,788,0.484,0.459,0.246,0.32,0.293,0.697,0.329,0.173
244,North Carolina A&T_2013,-6.94,-6.3,779,0.458,0.449,0.291,0.297,0.3,0.636,0.276,0.267
245,North Carolina State_2013,14.32,7.17,790,0.542,0.468,0.258,0.281,0.347,0.648,0.279,0.21
246,North Carolina_2013,14.52,8.01,776,0.499,0.48,0.285,0.329,0.344,0.65,0.19,0.188
247,Northwestern State_2013,0.41,-3.77,698,0.505,0.469,0.268,0.294,0.353,0.606,0.265,0.243
248,Notre Dame_2013,13.74,7.22,759,0.522,0.468,0.28,0.296,0.34,0.673,0.227,0.17
249,Ohio State_2013,20.19,9.32,841,0.506,0.454,0.254,0.315,0.311,0.7,0.251,0.211
250,Oklahoma State_2013,15.57,6.73,756,0.488,0.445,0.261,0.301,0.313,0.668,0.302,0.241
251,Oklahoma_2013,11.4,7.09,689,0.478,0.474,0.267,0.298,0.332,0.655,0.268,0.218
252,Oregon_2013,13.82,5.77,834,0.493,0.464,0.289,0.313,0.357,0.704,0.27,0.225
253,Pacific_2013,1.96,1.05,704,0.509,0.49,0.266,0.287,0.295,0.676,0.256,0.264
254,Pittsburgh_2013,18.82,5.63,642,0.517,0.446,0.261,0.302,0.404,0.67,0.251,0.263
255,Saint Louis_2013,14.33,4.28,726,0.504,0.455,0.245,0.316,0.274,0.681,0.31,0.229
256,Saint Mary's (CA)_2013,14.51,3.31,777,0.54,0.473,0.269,0.275,0.371,0.731,0.267,0.265
