School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Purdue NCAA,11.99,831,1997,295,464,634,331,1155,448
Quinnipiac,-8.03,840,1893,241,334,512,322,1075,335
Radford,-1.95,788,1814,275,396,544,264,1050,405
Rhode Island,1.19,774,1818,221,470,649,312,1140,458
Rice,-2.06,891,1987,270,429,596,284,1162,363
Richmond,-0.79,863,1854,243,364,533,322,1174,409
Rider,-6.51,814,1774,276,429,638,290,1125,525
Robert Morris,-7.62,820,1832,237,526,711,300,1155,544
Rutgers,9.76,755,1776,239,383,576,303,1082,371
Sacramento State,-6.78,742,1676,228,443,595,270,1052,474
Sacred Heart,-8.11,886,2001,284,453,624,312,1089,389
Saint Francis (PA),-6.16,904,1953,266,436,613,321,1149,412
Saint Joseph's,1.66,852,1948,309,384,528,282,1225,357
Saint Louis NCAA,2.23,798,1948,230,471,652,305,1191,466
Saint Mary's (CA) NCAA,4.40,803,1834,186,393,534,251,991,358
Saint Peter's,-6.40,728,1677,262,478,646,284,994,394
Sam Houston State,-5.84,774,1775,242,517,733,308,1131,498
Samford,-2.03,872,2088,326,417,594,403,1210,441
San Diego State,2.47,792,1934,263,444,639,340,1171,444
San Diego,3.61,861,1963,210,523,722,265,1149,440
San Francisco,1.13,764,1765,187,386,535,276,1040,364
San Jose State,0.59,920,1947,348,346,530,309,1144,345
Santa Clara,0.92,768,1779,193,443,629,305,1059,344
Savannah State,-9.04,955,2063,302,482,673,410,1386,464
Seattle,-3.85,776,1901,211,520,717,310,1112,374
Seton Hall NCAA,8.34,845,1974,270,481,648,352,1212,477
Siena,-6.47,811,1757,226,330,479,284,1106,371
South Alabama,-2.71,866,1926,247,486,709,367,1204,471
South Carolina State,-8.30,903,1861,271,516,736,320,1112,494
South Carolina Upstate,-4.27,839,1816,222,495,700,341,1199,429
South Carolina,9.63,771,1823,245,529,715,352,1165,476
South Dakota State,-4.74,871,2078,341,342,499,295,1104,382
South Dakota,-3.06,751,1670,218,416,558,248,1023,367
South Florida,1.69,857,2034,243,596,866,334,1229,582
Southeast Missouri State,-4.39,842,1854,248,446,618,315,1135,390
Southeastern Louisiana,-6.30,768,1737,201,491,669,303,1023,483
Southern California,4.96,866,2032,263,415,610,368,1249,431
SIU Edwardsville,-5.06,893,1814,249,485,691,286,1159,441
Southern Illinois,-0.17,781,1830,254,328,469,325,1048,407
Southern Methodist,4.12,793,1853,267,396,547,343,1097,370
Southern Mississippi,-0.83,757,1879,296,348,537,321,1174,434
Southern Utah,-6.22,872,2028,275,547,765,306,1242,445
Southern,-7.37,792,1648,219,557,807,317,1067,489
St. Bonaventure,0.25,750,1864,259,386,587,336,1154,446
St. Francis (NY),-8.45,803,1866,190,524,717,319,1237,455
St. John's (NY) NCAA,5.50,853,1961,283,553,779,353,1323,529
Stanford,5.13,814,1886,178,421,620,326,1084,384
Stephen F. Austin,-5.92,735,1688,271,420,594,330,1050,471
Stetson,-3.46,867,1863,277,418,600,335,1212,409
Stony Brook,-6.48,746,1889,238,458,681,322,1140,439
Syracuse NCAA,10.09,746,1859,294,460,637,405,1253,528
Temple NCAA,4.93,841,1897,239,437,643,325,1222,485
Tennessee-Martin,-4.32,916,1896,300,354,508,354,1123,431
Tennessee State,-3.15,752,1615,215,613,859,270,1034,453
Tennessee Tech,-3.00,840,1904,235,435,610,368,1200,450
Tennessee NCAA,10.16,888,2199,311,493,755,421,1270,472
Texas A&M-Corpus Christi,-5.68,694,1694,239,497,673,281,1044,444
Texas A&M,8.59,828,1960,278,363,529,395,1160,410
Texas-Arlington,0.84,798,1888,216,491,707,330,1157,428
Texas Christian,9.60,948,2209,242,436,612,376,1259,484
Texas-El Paso,-1.71,709,1686,218,365,554,291,1053,391
Texas-Rio Grande Valley,-1.61,895,2013,234,599,863,411,1436,654
Texas-San Antonio,0.05,842,1969,255,468,662,327,1257,434
Texas Southern,-6.99,1101,2440,303,503,772,450,1460,589
Texas State,-3.00,740,1795,218,506,699,280,1085,499
Texas Tech NCAA,9.53,751,2027,243,516,743,373,1254,586
Texas,11.46,882,2084,264,430,618,374,1302,469
Toledo,0.71,832,2026,224,368,538,327,1160,366
Towson,-3.57,781,1792,293,439,590,287,1022,327
Troy,-1.01,795,1775,253,399,569,323,1070,375
Tulane,3.63,863,1959,255,422,619,357,1195,335
Tulsa,3.86,793,1934,279,406,587,356,1180,395
UCLA,6.78,918,2165,311,420,598,364,1219,368
Utah State NCAA,0.89,790,2008,282,487,682,293,1096,432
Utah Valley,-2.30,888,2087,264,434,605,319,1124,410
Utah,5.10,827,1805,234,423,586,287,1001,309
Valparaiso,-1.00,788,1822,214,397,564,286,1079,420
Vanderbilt,7.79,816,1884,234,449,627,335,1136,362
Vermont NCAA,-4.18,768,1834,240,367,503,241,1050,439
Villanova NCAA,7.97,877,2012,274,397,567,334,1190,414
Virginia Commonwealth NCAA,2.87,706,1822,172,460,667,374,1171,535
VMI,0.09,944,1987,290,439,618,307,1243,410
Virginia Tech NCAA,7.79,758,1856,303,353,489,307,1058,491
Virginia NCAA,10.15,769,1995,245,349,524,323,1132,407
Wagner,-7.63,659,1533,221,505,712,273,1009,398
Wake Forest,8.47,830,1788,246,438,630,288,1074,345
Washington State,2.20,927,1967,297,366,558,334,1155,393
Washington NCAA,7.01,814,1958,231,472,665,418,1245,587
Weber State,-6.12,895,2090,215,449,642,333,1228,388
West Virginia,10.57,967,2109,276,576,801,362,1261,484
Western Carolina,0.34,904,1883,241,514,760,279,1033,337
Western Illinois,-5.18,828,1872,276,340,504,283,1149,331
Western Kentucky,0.96,855,2040,287,358,522,348,1177,439
Western Michigan,1.48,878,1964,278,405,581,322,1128,353
Wichita State,5.91,863,2082,256,560,808,349,1303,449
William & Mary,-2.08,852,1862,255,426,559,276,1061,339
Winthrop,-3.74,842,1945,266,408,571,295,1073,349
Wisconsin NCAA,11.01,774,1950,215,336,503,327,1207,387
Wofford NCAA,0.80,818,1924,248,411,585,271,1029,482
Wright State,-0.89,865,1906,263,372,534,283,1122,485
Wyoming,0.19,835,1880,264,477,649,317,1218,388
Xavier,8.06,898,2081,313,363,519,340,1120,370
Yale NCAA,-1.24,779,1890,223,421,577,285,1029,338
Youngstown State,-2.05,880,1898,250,516,703,316,1137,390
