,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
214,Connecticut 2014,971,2163,287,644,829,387.0,1389,457
215,Creighton 2014,957,1927,356,486,654,293.0,1192,342
216,Dayton 2014,935,2018,243,558,819,414.0,1289,442
217,Delaware 2014,936,2108,252,658,925,385.0,1264,334
218,Duke 2014,929,2020,316,571,783,410.0,1207,328
219,Eastern Kentucky 2014,881,1810,315,600,798,243.0,884,359
220,Florida 2014,945,2056,255,582,871,437.0,1385,418
221,George Washington 2014,839,1812,187,550,845,394.0,1229,428
222,Gonzaga 2014,972,1963,255,562,793,343.0,1291,419
223,Harvard 2014,786,1691,184,587,811,335.0,1092,365
224,Iowa State 2014,1062,2239,301,564,814,375.0,1387,380
225,Iowa 2014,919,1984,191,660,898,447.0,1332,371
226,Kansas State 2014,798,1840,198,486,741,406.0,1180,404
227,Kansas 2014,955,1937,189,665,935,416.0,1336,463
228,Kentucky 2014,1004,2213,203,781,1146,562.0,1607,469
229,Louisiana 2014,988,2127,246,613,913,464.0,1329,459
230,Louisville 2014,1051,2232,288,608,920,503.0,1396,391
231,Manhattan 2014,828,1837,208,676,1019,415.0,1234,468
232,Massachusetts 2014,900,1962,177,525,769,404.0,1267,446
233,Memphis 2014,958,2009,182,516,801,427.0,1268,449
234,Mercer 2014,982,2061,290,582,791,407.0,1338,420
235,Michigan State 2014,1024,2159,307,515,728,395.0,1400,430
236,Michigan 2014,945,1982,319,527,691,316.0,1160,336
237,Milwaukee 2014,808,1888,245,604,823,343.0,1182,469
238,Mount St. Mary's 2014,843,1923,296,522,706,328.0,1053,388
239,Nebraska 2014,719,1684,188,511,713,278.0,1059,349
240,New Mexico State 2014,936,1918,194,705,1027,428.0,1346,457
241,New Mexico 2014,847,1851,197,625,863,360.0,1296,361
242,North Carolina Central 2014,847,1832,184,635,872,403.0,1197,389
243,North Carolina State 2014,950,2060,160,501,762,422.0,1239,375
244,North Carolina 2014,953,2057,146,552,882,483.0,1350,406
245,North Dakota State 2014,888,1759,176,540,719,307.0,1081,325
246,Ohio State 2014,843,1875,200,546,793,346.0,1187,394
247,Oklahoma State 2014,898,1941,239,693,964,332.0,1203,356
248,Oklahoma 2014,909,2034,285,601,802,398.0,1242,376
249,Oregon 2014,928,1977,259,668,865,356.0,1159,389
250,Pittsburgh 2014,895,1944,183,613,861,432.0,1291,373
251,Providence 2014,849,1984,218,650,831,432.0,1278,406
252,Saint Joseph's 2014,840,1789,250,503,780,319.0,1218,409
253,Saint Louis 2014,829,1869,190,526,755,345.0,1231,431
254,San Diego State 2014,873,2009,186,598,902,470.0,1364,355
255,Stanford 2014,896,1950,208,616,877,347.0,1257,409
256,Stephen F. Austin 2014,922,1992,248,569,800,451.0,1186,393
257,Syracuse 2014,819,1873,167,506,715,446.0,1200,306
258,Tennessee 2014,927,2048,205,613,852,501.0,1424,388
259,Texas Southern 2014,857,1854,217,653,910,386.0,1246,454
260,Texas 2014,905,2095,178,610,909,528.0,1449,426
261,Tulsa 2014,835,1899,197,604,894,368.0,1231,394
262,UCLA 2014,1073,2196,229,628,839,368.0,1308,379
263,Villanova 2014,870,1907,304,607,848,379.0,1263,406
264,Virginia Commonwealth 2014,922,2196,260,520,772,479.0,1317,423
265,Virginia 2014,855,1884,206,533,792,379.0,1312,362
266,Weber State 2014,732,1541,222,568,767,265.0,1065,382
267,Western Michigan 2014,779,1684,195,620,856,323.0,1143,464
268,Wichita State 2014,896,1942,250,664,916,419.0,1381,374
269,Wisconsin 2014,927,2019,297,642,861,337.0,1266,307
270,Wofford 2014,808,1804,196,393,592,352.0,1090,351
271,Xavier 2014,869,1850,174,530,770,379.0,1213,421
272,American 2008,698,1586,260,484,655,321.0,1064,458
273,Arizona 2008,843,1765,221,536,716,281.0,1052,414
274,Arkansas 2008,936,2001,207,514,758,446.0,1274,531
275,Austin Peay 2008,855,1917,273,607,850,362.0,1107,440
276,Baylor 2008,899,1979,275,528,711,384.0,1196,403
277,Belmont 2008,938,2078,357,481,689,424.0,1248,498
278,Boise State 2008,994,1956,271,508,768,335.0,1218,534
279,Brigham Young 2008,906,1970,285,483,737,365.0,1351,492
280,Butler 2008,776,1729,319,468,635,308.0,1016,352
281,Cal State Fullerton 2008,974,2060,285,467,665,391.0,1182,445
282,Clemson 2008,1000,2191,271,422,677,536.0,1305,505
283,Connecticut 2008,868,1880,168,652,905,449.0,1383,451
284,Coppin State 2008,775,1940,147,515,721,409.0,1158,539
285,Cornell 2008,758,1562,228,392,515,258.0,939,381
286,Davidson 2008,1032,2199,328,411,573,417.0,1302,426
287,Drake 2008,816,1829,310,498,656,399.0,1128,390
288,Duke 2008,964,2084,308,594,852,426.0,1255,462
289,George Mason 2008,827,1778,205,497,707,340.0,1170,406
290,Georgetown 2008,855,1744,269,388,593,335.0,1190,458
291,Georgia 2008,840,1956,204,430,633,451.0,1295,505
292,Gonzaga 2008,892,1838,220,520,730,369.0,1235,473
293,Indiana 2008,839,1814,221,577,760,386.0,1247,449
294,Kansas State 2008,916,2067,210,532,774,539.0,1362,501
295,Kansas 2008,1176,2314,271,598,852,482.0,1547,529
296,Kent State 2008,839,1809,202,532,745,385.0,1166,516
297,Kentucky 2008,735,1566,182,472,644,301.0,1038,490
298,Louisville 2008,932,2011,272,475,734,413.0,1338,491
299,Marquette 2008,929,2082,246,554,785,474.0,1287,451
300,Maryland-Baltimore County 2008,869,1928,248,464,640,371.0,1126,318
301,Memphis 2008,1143,2454,302,608,991,565.0,1620,470
302,Miami (FL) 2008,867,1985,236,572,766,433.0,1293,454
303,Michigan State 2008,949,1976,179,487,661,440.0,1330,490
304,Mississippi State 2008,885,1922,235,484,749,410.0,1385,509
305,Mississippi Valley State 2008,698,1755,147,493,727,389.0,1107,473
306,Mount St. Mary's 2008,822,1856,204,505,718,345.0,1152,486
307,Nevada-Las Vegas 2008,844,1999,264,488,653,356.0,1209,379
308,North Carolina 2008,1250,2564,216,738,975,605.0,1695,560
309,Notre Dame 2008,914,2015,274,506,686,436.0,1371,429
310,Oklahoma 2008,831,1880,220,496,728,391.0,1240,451
311,Oral Roberts 2008,785,1783,223,489,730,371.0,1182,431
312,Oregon 2008,858,1788,279,455,656,327.0,1093,402
313,Pittsburgh 2008,997,2185,225,512,768,533.0,1399,445
314,Portland State 2008,846,1822,294,452,668,381.0,1129,484
315,Purdue 2008,806,1900,253,502,705,389.0,1124,436
316,Saint Joseph's 2008,859,1800,247,519,715,337.0,1086,432
317,Saint Mary's (CA) 2008,845,1843,254,477,722,385.0,1215,439
318,San Diego 2008,868,1925,177,452,673,384.0,1206,538
319,Siena 2008,928,2058,239,518,752,390.0,1148,385
320,South Alabama 2008,840,1774,220,578,821,404.0,1221,457
321,Southern California 2008,820,1710,184,453,661,305.0,1106,482
322,Stanford 2008,901,2008,199,552,795,478.0,1409,442
323,Temple 2008,857,1829,266,477,645,302.0,1108,432
324,Tennessee 2008,1035,2258,312,564,856,501.0,1358,474
325,Texas A&M 2008,909,1945,211,519,820,424.0,1402,458
326,Texas-Arlington 2008,868,1820,201,485,741,352.0,1249,565
327,Texas 2008,1032,2285,309,495,725,496.0,1448,359
328,UCLA 2008,1029,2164,214,595,813,492.0,1432,491
329,Vanderbilt 2008,928,1995,303,562,765,359.0,1197,494
330,Villanova 2008,868,2013,242,569,783,457.0,1257,503
331,Washington State 2008,815,1716,214,481,661,274.0,1044,358
332,West Virginia 2008,983,2169,264,539,782,453.0,1332,413
333,Western Kentucky 2008,993,2106,270,529,755,455.0,1262,514
334,Winthrop 2008,795,1814,217,398,673,393.0,1195,439
335,Wisconsin 2008,841,1872,212,527,747,419.0,1292,438
336,Xavier 2008,936,1973,282,626,836,412.0,1322,480
337,Air Force 2005,585,1216,245,322,453,174.0,623,318
338,Alabama-Birmingham 2005,882,2006,213,437,656,401.0,1119,431
339,Alabama State 2005,639,1523,173,453,691,360.0,1066,537
340,Alabama 2005,813,1802,233,521,735,366.0,1148,423
341,Arizona 2005,942,1938,219,511,650,421.0,1177,448
342,Boston College 2005,819,1799,128,546,804,425.0,1224,457
333,Bucknell 2005,704,1585,218,471,672,306,1044,508
343,Brigham Young 2005,764,1571,171,501,692,316.0,1017,409
344,Central Florida 2005,792,1732,232,365,510,382.0,1129,473
345,Charlotte 2005,812,1805,232,518,798,441.0,1220,458
346,Cincinnati 2005,867,1893,237,484,723,420.0,1197,393
347,Connecticut 2005,1154,2403,249,516,828,586.0,1742,532
348,Dayton 2005,780,1746,207,477,717,409.0,1266,467
349,DePaul 2005,813,1755,163,468,671,382.0,1159,422
350,Duke 2005,1018,2161,263,655,890,474.0,1351,511
351,East Tennessee State 2005,946,2059,201,525,762,411.0,1269,514
352,Eastern Washington 2005,747,1574,179,429,608,279.0,918,453
353,Florida A&M 2005,747,1802,271,546,771,,1089,537
354,Florida 2005,829,1719,249,462,616,306.0,1081,454
355,Georgia Tech 2005,1029,2213,267,586,847,429.0,1422,578
356,Gonzaga 2005,899,1765,195,543,724,348.0,1230,418
357,Illinois-Chicago 2005,810,1797,158,445,700,423.0,1126,405
358,Illinois 2005,887,1899,231,397,571,381.0,1151,401
345,Iowa State 2005,784,1794,113,431,632,376,1100,405
359,Kansas 2005,895,1923,188,525,743,409.0,1303,485
360,Kentucky 2005,862,1828,204,437,627,371.0,1160,468
361,Lehigh 2005,729,1718,198,426,595,357.0,1132,450
362,Liberty 2005,819,1913,206,440,651,441.0,1235,528
363,Louisiana 2005,797,1715,237,403,585,341.0,988,419
364,Louisville 2005,737,1757,241,480,641,351.0,1126,413
365,Manhattan 2005,762,1724,180,607,798,374.0,1079,395
366,Maryland 2005,891,2021,165,530,840,485.0,1322,485
367,Memphis 2005,736,1751,259,441,671,402.0,1139,383
368,Michigan State 2005,748,1519,190,452,586,270.0,910,438
369,Mississippi State 2005,822,1766,198,476,717,444.0,1231,458
370,Monmouth 2005,752,1802,236,513,693,303.0,1088,446
371,Murray State 2005,994,2009,224,518,730,416.0,1261,476
372,Nevada 2005,901,1991,172,605,830,449.0,1322,445
373,North Carolina State 2005,760,1688,260,481,602,317.0,1046,420
374,North Carolina 2005,877,1912,195,515,749,460.0,1189,462
375,Northern Iowa 2005,723,1644,223,478,648,268.0,1068,388
333,Oakland 2005,811,1804,201,446,671,384,1044,390
376,Oklahoma State 2005,1002,1953,166,528,760,393.0,1253,468
345,Oklahoma 2005,908,1907,214,450,652,428,1172,449
377,Pacific 2005,764,1633,195,549,746,304.0,1101,471
378,Pittsburgh 2005,904,1921,150,488,748,466.0,1320,455
379,Princeton 2005,634,1319,169,323,454,241.0,856,372
380,Providence 2005,717,1592,228,398,553,342.0,976,433
381,Richmond 2005,737,1793,188,467,648,403.0,1164,432
382,Saint Joseph's 2005,866,1822,313,431,614,308.0,1043,370
383,Seton Hall 2005,806,1759,181,435,609,359.0,1134,403
384,South Carolina 2005,846,1948,226,465,690,423.0,1224,448
385,Southern Illinois 2005,787,1775,185,372,540,393.0,1057,360
386,Stanford 2005,849,1771,169,489,651,366.0,1178,453
387,Syracuse 2005,847,1827,141,430,669,423.0,1180,396
388,Texas-El Paso 2005,834,1748,197,614,817,328.0,1106,445
389,Texas-San Antonio 2005,813,1896,234,540,775,415.0,1242,564
390,Texas Tech 2005,922,1985,125,521,703,385.0,1153,424
391,Texas 2005,904,2046,227,494,726,517.0,1355,388
392,Utah 2005,768,1630,196,402,556,355.0,1140,463
393,Valparaiso 2005,765,1740,165,522,740,368.0,1183,500
394,Vanderbilt 2005,841,1873,263,469,660,367.0,1150,419
395,Vermont 2005,734,1739,203,374,551,360.0,1126,387
234,Villanova 2005,801,1840,225,509,692,463,1193,409
396,Virginia Commonwealth 2005,811,1707,208,372,614,377.0,1159,510
397,Wake Forest 2005,882,1854,236,590,829,417.0,1148,457
398,Washington 2005,890,1911,201,562,788,382.0,1103,472
234,West Virginia 2005,868,1930,319,446,601,340,1065,412
399,Western Michigan 2005,845,1840,217,527,731,449.0,1177,411
400,Wisconsin 2005,754,1687,190,492,684,347.0,1049,320
401,Xavier 2005,908,2058,284,535,777,439.0,1327,459
402,Albany (NY) 2007,798,1762,227,418,579,364.0,1112,437
403,Arizona 2007,846,1770,172,553,737,380.0,1158,427
404,Arkansas 2007,881,1910,212,513,730,392.0,1233,532
405,Belmont 2007,848,1836,288,406,587,373.0,1228,528
406,Boston College 2007,842,1763,196,573,791,394.0,1142,455
407,Brigham Young 2007,972,1981,256,454,688,414.0,1273,456
408,Butler 2007,780,1792,321,553,728,326.0,1068,341
409,Central Connecticut State 2007,790,1822,262,502,688,401.0,1180,481
410,Creighton 2007,740,1662,205,535,710,340.0,1080,417
411,Davidson 2007,969,2157,328,499,663,465.0,1378,495
412,Duke 2007,822,1754,198,481,698,379.0,1165,509
413,Eastern Kentucky 2007,782,1691,264,323,475,280.0,930,446
414,Florida A&M 2007,846,1881,209,566,855,,1291,623
415,Florida 2007,1125,2138,297,646,936,447.0,1504,565
416,George Washington 2007,824,1799,171,428,611,389.0,1090,444
417,Georgetown 2007,923,1826,235,474,667,409.0,1250,497
418,Georgia Tech 2007,935,1909,201,444,652,445.0,1166,503
419,Gonzaga 2007,933,1932,230,572,762,353.0,1271,473
420,Holy Cross 2007,738,1695,191,504,687,386.0,1091,521
421,Illinois 2007,790,1830,241,424,680,437.0,1231,491
422,Indiana 2007,783,1755,252,428,603,375.0,1082,396
423,Jackson State 2007,878,2107,194,540,759,470.0,1250,537
424,Kansas 2007,1106,2241,231,535,811,486.0,1507,539
425,Kentucky 2007,890,1868,231,485,690,370.0,1235,493
426,Long Beach State 2007,906,1994,273,490,698,410.0,1171,445
427,Louisville 2007,845,1946,250,493,727,456.0,1249,434
428,Marquette 2007,851,1951,217,524,783,488.0,1251,496
429,Maryland 2007,971,2032,196,547,787,437.0,1325,544
430,Memphis 2007,1024,2249,278,592,953,550.0,1468,493
431,Miami (OH) 2007,720,1565,169,353,498,260.0,998,434
432,Michigan State 2007,806,1718,182,482,671,394.0,1217,521
433,Nevada-Las Vegas 2007,979,2202,289,525,733,460.0,1293,410
434,Nevada 2007,949,1961,253,481,636,399.0,1300,451
435,New Mexico State 2007,906,1890,199,641,975,459.0,1285,573
436,Niagara 2007,889,2125,274,602,824,517.0,1342,473
