,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
143,Iona_2016,33,22,11,.667,3.59,-1.78,,16,4,,11,2,,8,6,,2628,2451,,1325,919,2011,.457,327,884,.370,463,651,.711,348,1218,551,248,135,422,642
144,Iowa State_2016,35,23,12,.657,16.93,10.16,,10,8,,14,2,,4,7,,2862,2625,,1415,1087,2159,.503,293,758,.387,395,563,.702,304,1244,577,218,142,398,542
145,Iowa_2016,33,22,11,.667,17.01,8.71,,12,6,,13,2,,6,5,,2561,2287,,1330,906,2027,.447,269,719,.374,480,669,.717,392,1257,523,223,156,339,538
155,Kansas_2016,38,33,5,.868,23.87,11.22,,15,3,,16,0,,7,3,,3089,2570,,1540,1092,2207,.495,304,728,.418,601,843,.713,402,1443,604,253,158,478,719
158,Kentucky_2016,36,27,9,.750,20.23,8.84,,13,5,,17,0,,4,7,,2861,2451,,1455,1028,2149,.478,244,666,.366,561,813,.690,462,1395,512,206,207,389,735
185,Maryland_2016,36,27,9,.750,16.71,8.31,,12,6,,16,1,,4,6,,2725,2400,,1445,943,1941,.486,267,739,.361,572,745,.768,319,1288,488,210,194,458,605
191,Miami (FL)_2016,35,27,8,.771,18.52,10.69,,13,5,,15,1,,6,5,,2633,2359,,1405,907,1895,.479,241,643,.375,578,772,.749,330,1207,438,215,127,383,581
193,Michigan State_2016,35,29,6,.829,22.59,6.94,,13,5,,14,2,,7,3,,2793,2245,,1410,1009,2078,.486,321,739,.434,454,623,.729,427,1454,719,156,177,406,671
194,Michigan_2016,36,23,13,.639,13.75,7.92,,10,8,,13,4,,4,6,,2656,2426,,1445,947,2048,.462,342,901,.380,420,569,.738,290,1152,537,203,81,348,558
195,Middle Tennessee_2016,35,25,10,.714,2.66,-0.70,,13,5,,11,3,,8,6,,2539,2410,,1405,909,2025,.449,279,716,.390,442,718,.616,369,1283,455,215,123,419,700
228,North Carolina-Asheville_2016,34,22,12,.647,1.10,-3.25,,12,6,,11,3,,6,7,,2552,2313,,1370,898,1973,.455,195,603,.323,561,808,.694,396,1278,422,312,112,444,587
233,North Carolina-Wilmington_2016,33,25,8,.758,6.25,0.35,,14,4,,12,2,,8,5,,2620,2379,,1335,928,2039,.455,230,677,.340,534,760,.703,397,1237,438,246,143,374,793
234,North Carolina_2016,40,33,7,.825,23.44,10.69,,14,4,,15,1,,6,5,,3311,2801,,1600,1235,2560,.482,224,685,.327,617,826,.747,568,1624,708,269,177,431,718
245,Northern Iowa_2016,36,23,13,.639,8.78,4.44,,11,7,,11,3,,6,8,,2475,2303,,1455,849,1864,.455,298,796,.374,479,633,.757,195,1091,429,204,94,357,560
249,Notre Dame_2016,36,24,12,.667,14.10,9.57,,11,7,,14,2,,5,5,,2704,2541,,1445,972,2042,.476,262,700,.374,498,671,.742,381,1265,480,197,143,359,544
254,Oklahoma_2016,37,29,8,.784,19.76,11.14,,12,6,,14,1,,7,5,,2948,2629,,1495,1018,2225,.458,382,906,.422,530,734,.722,407,1418,537,247,188,484,630
257,Oregon State_2016,32,19,13,.594,10.39,9.26,,9,9,,12,3,,4,7,,2301,2244,,1280,811,1843,.440,218,587,.371,461,687,.671,337,1102,432,236,106,361,642
258,Oregon_2016,38,31,7,.816,18.05,8.64,,14,4,,18,0,,5,5,,2990,2614,,1525,1041,2230,.467,260,758,.343,648,906,.715,442,1382,517,275,221,431,675
265,Pittsburgh_2016,33,21,12,.636,15.47,8.75,,9,9,,15,4,,3,6,,2476,2220,,1330,878,1919,.458,204,589,.346,516,686,.752,417,1257,547,162,121,384,581
271,Providence_2016,35,24,11,.686,11.94,8.46,,10,8,,13,4,,7,4,,2577,2455,,1415,881,2093,.421,249,776,.321,566,781,.725,402,1263,550,229,123,397,591
272,Purdue_2016,35,26,9,.743,20.17,7.46,,12,6,,17,1,,5,5,,2726,2281,,1415,960,2042,.470,268,731,.367,538,723,.744,407,1443,615,147,165,419,607
284,Saint Joseph's_2016,36,28,8,.778,12.10,4.93,,13,5,,12,4,,10,2,,2780,2522,,1445,976,2153,.453,251,767,.327,577,806,.716,364,1378,534,184,119,355,583
299,Seton Hall_2016,34,25,9,.735,14.66,8.28,,12,6,,13,3,,7,4,,2522,2305,,1365,892,1999,.446,206,594,.347,532,808,.658,438,1355,455,251,155,469,636
305,South Dakota State_2016,34,26,8,.765,5.44,-1.22,,12,4,,13,0,,8,7,,2591,2316,,1360,877,1950,.450,255,715,.357,582,783,.743,381,1279,381,169,84,399,670
312,Southern California_2016,34,21,13,.618,13.52,7.64,,9,9,,16,2,,3,7,,2737,2537,,1380,982,2138,.459,266,688,.387,507,750,.676,401,1337,504,215,181,415,590
318,Southern_2016,35,22,13,.629,-7.68,-9.37,,11,7,,12,1,,6,10,,2534,2406,,1400,909,2046,.444,211,610,.346,505,754,.670,365,1258,381,258,123,391,680
323,Stephen F. Austin_2016,34,28,6,.824,9.23,-5.47,,18,0,,14,0,,9,4,,2728,2153,,1360,972,2032,.478,269,741,.363,515,701,.735,405,1188,635,310,122,411,700
325,Stony Brook_2016,33,26,7,.788,3.75,-5.28,,14,2,,15,1,,11,5,,2515,2115,,1325,933,1992,.468,220,598,.368,429,637,.673,426,1312,541,204,150,379,523
326,Syracuse_2016,37,23,14,.622,14.62,9.75,,9,9,,13,4,,3,7,,2589,2409,,1495,884,2080,.425,315,876,.360,506,736,.688,445,1319,493,300,162,440,598
327,Temple_2016,33,21,12,.636,7.69,6.57,,14,4,,11,3,,8,4,,2267,2230,,1345,822,2021,.407,255,757,.337,368,538,.684,371,1225,445,173,103,305,535
335,Texas A&M_2016,37,28,9,.757,18.45,8.45,,13,5,,17,1,,5,5,,2828,2458,,1500,991,2208,.449,281,824,.341,565,841,.672,477,1461,612,260,133,434,668
