,,Oppo,Oppo,Oppo,Oppo,Oppo,Oppo,Oppo,Oppo
Rk,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
298,Syracuse,699,1724,203,364,517,348,1087,436
299,Temple,803,2040,210,447,683,395,1368,455
300,Tennessee-Martin,805,1859,245,369,521,286,1036,354
301,Tennessee State,712,1666,229,458,679,346,1117,366
302,Tennessee Tech,723,1613,204,445,657,290,967,397
303,Tennessee,673,1533,244,465,667,322,996,445
304,Texas A&M-Corpus Christi,725,1731,197,545,789,378,1121,459
305,Texas A&M,703,1749,232,439,637,324,1045,414
306,Texas-Arlington,727,1781,228,524,735,387,1130,432
307,Texas Christian,684,1708,140,550,820,386,1127,431
308,Texas-El Paso,760,1832,197,387,584,352,1108,406
309,Texas-Rio Grande Valley,772,1754,220,415,574,391,1120,381
310,Texas-San Antonio,756,1678,240,359,495,311,1004,411
311,Texas Southern NCAA,882,1983,193,429,656,422,1194,431
312,Texas State,642,1561,159,411,574,316,1079,478
313,Texas Tech,712,1668,217,418,619,337,1043,408
314,Texas NCAA,702,1910,204,441,665,372,1063,303
315,Toledo,844,1935,234,421,599,353,1075,361
316,Towson,689,1668,185,517,736,318,979,298
317,Troy,738,1678,198,339,478,346,1033,383
318,Tulane,722,1615,158,382,584,289,1023,414
319,Tulsa,722,1835,239,381,581,345,1177,439
320,UCLA NCAA,855,2054,281,462,664,371,1233,438
321,Utah State,719,1782,189,346,523,393,1158,337
322,Utah Valley,673,1562,182,395,555,283,998,334
323,Utah NCAA,704,1832,169,422,617,342,1040,408
324,Valparaiso NCAA,689,1802,228,415,589,323,1040,415
325,Vanderbilt,789,1941,216,458,662,409,1119,407
326,Vermont,679,1757,158,496,701,335,1077,439
327,Villanova NCAA,797,1964,193,406,597,392,1163,508
328,Virginia Commonwealth NCAA,822,1892,229,495,716,367,1319,577
329,VMI,873,1845,154,528,772,367,1262,505
330,Virginia Tech,810,1844,252,417,623,406,1188,403
331,Virginia NCAA,622,1697,191,314,486,280,969,359
332,Wagner,721,1542,200,564,816,287,1022,424
333,Wake Forest,825,1834,218,439,645,296,1100,379
334,Washington State,866,1850,205,436,630,324,1110,299
335,Washington,765,1816,177,398,575,375,1101,346
336,Weber State,753,1680,167,368,516,303,994,334
337,West Virginia NCAA,762,1626,191,623,903,312,1169,678
338,Western Carolina,714,1681,243,613,858,374,1120,462
339,Western Illinois,698,1578,181,406,577,269,1054,326
340,Western Kentucky,765,1817,209,410,606,339,1126,429
341,Western Michigan,810,1827,264,470,653,333,1090,427
342,Wichita State NCAA,691,1721,187,439,634,304,1077,464
343,William & Mary,789,1838,243,387,561,334,1076,376
344,Winthrop,742,1817,198,477,686,376,1143,434
345,Wisconsin NCAA,896,2092,202,333,469,297,1106,378
346,Wofford NCAA,737,1763,173,442,629,300,1089,445
347,Wright State,722,1602,187,476,648,295,1060,404
348,Wyoming NCAA,715,1775,219,325,462,298,1052,377
349,Xavier NCAA,886,2035,261,459,678,345,1145,464
350,Yale,698,1679,171,364,538,298,956,389
351,Youngstown State,843,1858,240,468,667,371,1173,392
