Rk,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
255,Robert Morris,777,1773,162,522,754,354,1227,548
256,Rutgers,778,1882,232,427,594,356,1158,427
257,Sacramento State,827,1828,235,414,584,307,1085,333
258,Sacred Heart,871,1895,258,436,631,310,1117,459
259,Saint Francis (PA),924,2157,312,373,512,407,1244,457
260,Saint Joseph's,779,1795,281,426,584,283,1111,392
261,Saint Louis,784,1787,240,480,688,305,1178,367
262,Saint Mary's (CA) NCAA,738,1792,149,329,476,245,903,318
263,Saint Peter's,782,1881,247,378,549,305,1175,481
264,Sam Houston State,782,1835,233,627,863,306,1176,554
265,Samford,961,2241,298,513,715,419,1277,449
266,San Diego State,715,1845,219,415,587,342,1157,426
267,San Diego,785,1710,225,415,608,257,1059,312
268,San Francisco,793,1879,207,429,626,318,1163,440
269,San Jose State,776,1688,191,502,672,244,1028,416
270,Santa Clara,769,1703,211,409,596,256,1116,409
271,Savannah State,960,2123,307,438,653,457,1411,461
272,Seattle,727,1803,249,438,606,344,1137,414
273,Seton Hall NCAA,811,1872,214,487,677,295,1087,403
274,Siena,901,2014,224,515,714,354,1135,415
275,South Alabama,793,1793,237,499,716,342,1215,520
276,South Carolina State,886,1832,218,496,696,366,1180,389
277,South Carolina Upstate,919,2106,264,426,585,372,1209,363
278,South Carolina NCAA,789,1969,208,628,868,382,1304,632
279,South Dakota State NCAA,963,2140,369,402,557,356,1195,400
280,South Dakota,888,2048,273,464,639,330,1235,465
281,South Florida,740,1724,281,474,692,373,1119,398
282,Southeast Missouri State,857,1793,264,486,684,310,1163,519
283,Southeastern Louisiana,752,1747,202,476,682,324,1033,486
284,Southern California NCAA,973,2243,301,386,538,408,1272,452
285,SIU Edwardsville,787,1688,176,532,727,278,1051,394
286,Southern Illinois,812,1817,266,399,606,345,1164,453
287,Southern Methodist NCAA,745,1928,282,328,474,329,1035,409
288,Southern Mississippi,776,1765,282,405,585,272,1138,362
289,Southern Utah,917,1922,290,690,959,327,1232,414
290,Southern,849,1988,206,495,742,425,1206,407
291,St. Bonaventure,778,1801,243,517,747,352,1101,475
292,St. Francis (NY),795,1676,161,533,783,338,1293,434
293,St. John's (NY),904,1963,249,541,771,390,1286,500
294,Stanford,751,1691,258,444,640,277,1030,445
295,Stephen F. Austin,772,1712,208,519,763,306,1013,534
296,Stetson,964,2122,267,459,660,401,1382,370
297,Stony Brook,747,1702,232,478,682,303,1158,423
298,Syracuse,867,2014,295,387,586,431,1216,456
299,Temple,807,1875,226,437,601,369,1212,404
300,Tennessee-Martin,931,2097,321,447,631,402,1154,477
301,Tennessee State,637,1567,248,510,737,288,980,471
302,Tennessee Tech,788,1817,249,515,697,336,1163,467
303,Tennessee,783,1832,219,550,787,355,1184,447
304,Texas A&M-Corpus Christi,874,1994,285,541,790,388,1253,587
305,Texas A&M,739,1829,249,375,514,361,1029,360
306,Texas-Arlington,859,2081,300,498,762,399,1273,525
307,Texas Christian,988,2230,273,469,685,392,1260,509
308,Texas-El Paso,746,1770,243,467,690,279,1088,391
309,Texas-Rio Grande Valley,884,1881,239,658,968,370,1274,525
310,Texas-San Antonio,796,1832,237,462,685,276,1163,406
311,Texas Southern NCAA,940,2113,196,466,682,441,1310,473
312,Texas State,780,1891,213,483,673,349,1197,484
313,Texas Tech,731,1690,255,429,602,261,956,436
314,Texas,820,1932,218,415,580,367,1183,414
315,Toledo,986,2140,208,387,567,316,1141,351
316,Towson,740,1769,240,563,820,296,1043,437
317,Troy NCAA,933,2182,295,506,703,380,1267,463
318,Tulane,843,1788,235,513,730,344,1185,440
319,Tulsa,786,1810,254,423,600,316,1062,400
320,UCLA NCAA,1000,2371,310,409,602,413,1257,423
321,Utah State,789,1871,237,433,621,309,1089,360
322,Utah Valley,886,2135,222,485,722,331,1288,471
323,Utah,787,1887,216,390,573,281,998,385
324,Valparaiso,801,1935,243,429,619,326,1114,426
325,Vanderbilt NCAA,862,2028,226,435,622,339,1209,379
326,Vermont NCAA,812,1918,199,351,498,315,1066,453
327,Villanova NCAA,846,2018,251,313,445,336,1073,475
328,Virginia Commonwealth NCAA,800,1897,202,541,776,334,1185,515
329,VMI,826,1709,244,450,671,308,1125,390
330,Virginia Tech NCAA,902,2029,264,397,554,359,1146,383
331,Virginia NCAA,658,1653,209,391,559,264,1022,432
332,Wagner,670,1640,197,436,630,326,967,366
333,Wake Forest NCAA,891,1948,270,536,740,323,1109,385
334,Washington State,881,1917,248,366,527,322,1125,314
335,Washington,898,1926,236,481,669,345,1091,372
336,Weber State,937,2075,197,434,587,366,1197,406
337,West Virginia NCAA,826,1948,250,565,827,393,1274,740
338,Western Carolina,770,1731,248,557,794,309,1137,432
339,Western Illinois,729,1671,214,479,656,244,1051,289
340,Western Kentucky,853,1887,266,330,467,297,1104,343
341,Western Michigan,858,1824,247,445,631,275,1068,423
342,Wichita State NCAA,754,2000,241,497,718,321,1154,488
343,William & Mary,838,1898,270,465,659,319,1077,343
344,Winthrop NCAA,811,1990,219,481,666,355,1207,462
345,Wisconsin NCAA,822,1992,251,413,559,313,1142,473
346,Wofford,881,1868,216,501,688,303,1092,411
347,Wright State,804,1821,242,467,662,287,1055,462
348,Wyoming,957,2381,257,662,914,409,1495,460
349,Xavier NCAA,964,2144,283,500,716,327,1188,454
350,Yale,744,1736,218,322,453,300,959,341
351,Youngstown State,1034,2239,280,451,628,397,1381,418


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">CBB at Sports Reference</a>: <a href="https://www.sports-reference.com/cbb/seasons/2017-opponent-stats.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#basic_opp_stats">View Original Table</a><br>Generated 10/18/2018.
