"","Rk.x","School","SOS","FG.x","FGA.x","X3P.x","FT.x","FTA.x","ORB.x","TRB.x","TOV.x","Rk.y","FG.y","FGA.y","X3P.y","FT.y","FTA.y","ORB.y","TRB.y","TOV.y"
"365",NA,"Coastal Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,60,736,1819,276,493,680,315,1053,384
"366",NA,"College of Charleston NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,62,824,1907,239,444,602,321,1149,403
"367",NA,"Creighton NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,69,907,2093,261,369,512,303,1160,387
"368",NA,"Dayton",NA,NA,NA,NA,NA,NA,NA,NA,NA,72,824,1755,262,367,513,277,980,388
"369",NA,"Eastern Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,87,884,1983,241,511,711,289,1181,413
"370",NA,"Florida State NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,96,887,2129,285,492,689,383,1228,494
"371",NA,"Florida NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,97,832,1946,229,460,629,362,1273,468
"372",NA,"Georgetown",NA,NA,NA,NA,NA,NA,NA,NA,NA,104,821,1870,259,393,529,289,1009,377
"373",NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,108,778,1975,247,399,547,363,1124,318
"374",NA,"Hampton",NA,NA,NA,NA,NA,NA,NA,NA,NA,113,913,2175,258,519,761,409,1323,438
"375",NA,"Harvard",NA,NA,NA,NA,NA,NA,NA,NA,NA,115,725,1718,233,446,606,250,1030,405
"376",NA,"Houston NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,121,744,1887,231,552,785,320,1126,457
"377",NA,"Indiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,130,773,1752,235,397,564,315,1055,417
"378",NA,"Iona NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,131,969,2102,267,397,602,379,1280,464
"379",NA,"Iowa State",NA,NA,NA,NA,NA,NA,NA,NA,NA,132,856,1936,261,366,513,353,1158,356
"380",NA,"Iowa",NA,NA,NA,NA,NA,NA,NA,NA,NA,133,953,2061,284,407,579,338,1092,365
"381",NA,"Kansas State NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,140,842,1980,261,533,728,386,1259,533
"382",NA,"Lafayette",NA,NA,NA,NA,NA,NA,NA,NA,NA,146,856,1886,247,348,498,301,1088,318
"383",NA,"Lipscomb NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,150,898,2002,249,519,751,292,1169,511
"384",NA,"Long Island University NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,152,973,2209,242,486,702,401,1275,423
"385",NA,"Louisiana State",NA,NA,NA,NA,NA,NA,NA,NA,NA,156,875,1922,277,436,626,361,1130,450
"386",NA,"Louisville",NA,NA,NA,NA,NA,NA,NA,NA,NA,158,913,2208,249,456,646,438,1331,482
"387",NA,"Loyola (IL) NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,159,877,2118,254,369,523,335,1158,484
"388",NA,"Manhattan",NA,NA,NA,NA,NA,NA,NA,NA,NA,163,735,1681,214,491,689,335,1045,458
"389",NA,"Marshall NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,166,1059,2399,265,466,684,458,1466,515
"390",NA,"Maryland-Baltimore County NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,167,883,2012,282,418,618,339,1289,529
"391",NA,"Maryland",NA,NA,NA,NA,NA,NA,NA,NA,NA,169,781,1909,244,334,452,334,994,351
"392",NA,"Miami (FL) NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,175,794,1841,215,368,517,314,1088,412
"393",NA,"Michigan NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,178,948,2227,222,478,663,341,1353,530
"394",NA,"Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,184,852,1933,288,508,713,361,1230,397
"395",NA,"Missouri NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,187,795,1949,231,425,586,343,1079,365
"396",NA,"Montana NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,190,784,1825,209,552,764,295,1102,522
"397",NA,"Murray State NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,194,761,1841,199,396,547,314,1005,402
"398",NA,"Nevada NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,199,974,2248,275,480,677,393,1347,474
"399",NA,"North Carolina Central NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,210,846,2030,259,474,663,359,1168,423
"400",NA,"North Carolina-Greensboro NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,211,729,1794,229,502,692,264,1070,528
"401",NA,"North Dakota State",NA,NA,NA,NA,NA,NA,NA,NA,NA,215,799,1872,223,443,595,273,1061,325
"402",NA,"North Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,217,1120,2350,230,403,549,452,1340,353
"403",NA,"Northeastern",NA,NA,NA,NA,NA,NA,NA,NA,NA,219,834,1861,158,444,599,280,1035,412
"404",NA,"Northern Iowa",NA,NA,NA,NA,NA,NA,NA,NA,NA,223,723,1740,239,305,422,234,1055,356
"405",NA,"Notre Dame",NA,NA,NA,NA,NA,NA,NA,NA,NA,227,923,2176,286,339,480,380,1243,397
"406",NA,"Oklahoma State",NA,NA,NA,NA,NA,NA,NA,NA,NA,231,916,2094,264,541,745,400,1292,521
"407",NA,"Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,236,881,2033,285,559,738,325,1153,482
"408",NA,"Pennsylvania NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,239,816,1971,192,450,613,275,1192,406
"409",NA,"Radford NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,250,819,1897,261,437,582,317,1135,469
"410",NA,"Rhode Island NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,251,811,1792,182,534,728,303,1170,536
"411",NA,"Robert Morris",NA,NA,NA,NA,NA,NA,NA,NA,NA,255,833,1858,210,458,672,357,1218,525
"412",NA,"Seton Hall NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,273,903,2057,262,444,613,347,1149,431
"413",NA,"South Dakota State NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,279,955,2235,291,398,554,305,1243,371
"414",NA,"Southern Methodist",NA,NA,NA,NA,NA,NA,NA,NA,NA,287,744,1763,259,367,539,346,1096,461
"415",NA,"St. Bonaventure NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,291,807,1917,266,527,737,353,1186,488
"416",NA,"St. John's (NY)",NA,NA,NA,NA,NA,NA,NA,NA,NA,293,807,1922,304,479,653,378,1306,535
"417",NA,"Syracuse NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,298,801,2046,289,469,642,400,1237,469
"418",NA,"Tennessee NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,303,784,1917,222,511,720,383,1194,484
"419",NA,"Texas A&M NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,305,892,2186,268,415,603,378,1222,379
"420",NA,"Texas Christian NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,307,894,1958,262,437,598,291,1001,410
"421",NA,"Texas Tech NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,313,806,2008,249,536,762,368,1199,554
"422",NA,"Utah",NA,NA,NA,NA,NA,NA,NA,NA,NA,323,855,2043,264,422,589,360,1211,415
"423",NA,"Valparaiso",NA,NA,NA,NA,NA,NA,NA,NA,NA,324,732,1739,192,526,741,309,1075,450
"424",NA,"Virginia Commonwealth",NA,NA,NA,NA,NA,NA,NA,NA,NA,328,897,1992,258,418,585,318,1155,425
"425",NA,"Virginia Tech NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,330,844,1965,292,402,577,346,1130,433
"426",NA,"Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,345,798,1740,185,396,526,271,1023,386
"427",NA,"Wofford",NA,NA,NA,NA,NA,NA,NA,NA,NA,346,833,1857,287,452,616,282,1088,438
"428",NA,"Wright State NCAA",NA,NA,NA,NA,NA,NA,NA,NA,NA,347,816,1965,268,407,573,303,1178,531
"429",NA,"Wyoming",NA,NA,NA,NA,NA,NA,NA,NA,NA,348,898,2022,260,541,752,315,1288,483
