School,SOS,FG,FGA,3P,FT,FTA,ORB,DRB,TOV,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_DRB,opp_TOV
Harvard 2012,-1.56,695,1490,185,458,613,262,661,379,637,1555,143,307,467,273,604,388
Indiana 2012,7.8,949,1928,229,655,858,383,747,463,847,1988,219,479,682,391,703,482
Iona 2012,-1.82,1021,2033,254,440,617,353,689,414,885,1962,237,393,565,379,747,530
Iowa State 2012,7.32,847,1888,293,503,731,371,802,419,864,1977,193,365,523,316,776,395
Kansas State 2012,7.53,812,1849,183,536,799,471,658,474,716,1750,178,504,731,385,685,526
Kansas 2012,9.93,1023,2169,222,597,863,449,919,506,826,2176,236,519,721,419,837,533
Kentucky 2012,7.93,1096,2248,225,678,938,472,973,445,889,2379,219,426,614,487,799,464
Lamar 2012,-3.77,902,2087,153,616,855,497,791,418,838,1989,177,443,659,385,817,495
Lehigh 2012,-5.14,902,2030,254,590,768,386,718,391,808,1952,206,466,661,369,833,504
Long Beach State 2012,0.87,880,1880,221,529,790,391,750,440,804,1909,207,360,519,373,736,513
Long Island University 2012,-5.1,920,1940,225,704,965,396,771,546,1039,2313,209,354,510,470,763,469
Louisville 2012,9.02,963,2281,233,568,826,518,905,562,857,2233,218,508,766,509,932,621
Loyola (MD) 2012,-2.72,755,1775,164,548,762,430,614,443,739,1723,168,474,688,363,699,473
Marquette 2012,7.5,919,2033,201,599,831,414,735,461,831,2065,213,433,632,468,807,577
Memphis 2012,5.26,933,1899,185,563,785,332,761,444,751,1945,188,518,745,424,728,492
Michigan State 2012,9.82,960,2012,200,531,759,420,882,474,751,1981,214,479,681,364,742,465
Michigan 2012,8.98,808,1777,276,363,503,291,676,370,756,1768,203,375,526,329,747,424
Mississippi Valley State 2012,-7.65,812,2025,252,456,708,460,696,511,801,1851,233,510,780,386,896,564
Missouri 2012,5.68,981,1945,293,559,730,319,706,358,869,1956,222,361,534,380,729,501
Montana 2012,-3.39,781,1689,195,482,672,286,663,401,684,1688,165,452,646,346,725,478
Murray State 2012,-2.6,811,1732,239,551,761,360,659,458,730,1749,140,401,607,382,671,546
Nevada-Las Vegas 2012,4.37,942,2062,291,496,734,408,819,466,817,1991,217,456,678,383,835,539
New Mexico State 2012,0.08,970,2045,165,707,1058,518,834,533,896,2085,213,454,673,382,743,524
New Mexico 2012,3.34,876,1898,264,529,748,395,821,467,731,1903,213,401,594,351,742,499
Norfolk State 2012,-5.39,870,1977,198,544,829,421,765,539,842,2044,210,522,778,431,810,504
North Carolina-Asheville 2012,-2.72,920,1907,223,682,893,377,716,456,865,1949,234,462,695,415,718,539
North Carolina State 2012,6.8,977,2134,198,545,774,456,825,470,889,2140,236,487,687,414,818,461
North Carolina 2012,7.07,1134,2473,194,629,922,570,1022,447,957,2431,275,360,529,425,888,507
Notre Dame 2012,6.47,781,1800,221,474,673,345,705,342,791,1912,168,345,489,381,786,367
Ohio State 2012,9.07,1057,2219,199,600,846,447,898,449,840,2062,234,419,599,327,832,577
Ohio 2012,0.17,901,2107,278,517,749,451,685,481,775,1880,198,563,787,416,881,644
Purdue 2012,8.05,889,2019,284,452,689,391,648,306,826,1870,216,442,632,352,840,440
Saint Louis 2012,4.06,814,1813,238,470,653,346,648,382,691,1668,134,444,618,309,750,500
Saint Mary's (CA) 2012,0.78,857,1811,245,508,697,378,774,383,771,1802,176,350,523,298,675,393
San Diego State 2012,3.79,863,1903,197,493,703,360,793,426,778,1921,234,376,545,320,783,435
South Dakota State 2012,-1.87,918,1963,284,569,783,363,715,370,871,1942,199,388,564,327,800,455
South Florida 2012,7.29,772,1765,169,421,597,374,741,485,721,1866,179,416,589,373,720,397
Southern Mississippi 2012,3.61,819,1975,215,573,779,471,662,377,766,1727,179,501,689,295,796,486
St. Bonaventure 2012,2.84,770,1687,174,540,710,352,686,439,719,1723,185,458,642,328,639,400
Syracuse 2012,8.02,1006,2156,233,495,709,459,722,389,795,2064,235,432,639,541,807,591
Temple 2012,4.94,861,1836,228,451,627,333,686,401,806,1855,181,432,615,364,724,428
Texas 2012,8.12,836,1927,197,601,820,453,665,426,774,1862,199,523,772,409,725,460
Vanderbilt 2012,8.04,885,1921,307,538,770,361,764,465,861,2055,206,411,587,407,782,451
Vermont 2012,-5.19,848,1914,191,528,714,401,765,445,783,1930,191,436,643,387,768,452
Virginia Commonwealth 2012,0.63,837,2040,267,507,740,439,676,411,762,1796,174,456,660,393,875,644
Virginia 2012,4.23,721,1576,155,403,558,253,691,367,636,1589,149,314,495,266,680,413
West Virginia 2012,7.53,838,1914,174,496,739,493,642,422,815,1816,179,385,567,331,712,444
Western Kentucky 2012,0.51,769,1952,195,539,785,449,724,534,839,1940,163,542,755,395,869,510
Wichita State 2012,3.8,912,1892,230,491,656,359,798,403,729,1856,186,416,603,321,713,422
Wisconsin 2012,8.24,797,1875,285,425,575,349,763,320,708,1819,129,370,542,331,791,388
Xavier 2012,6.22,899,1986,176,569,819,378,805,448,828,2062,224,542,732,397,831,452
Arizona 2017,7.63,977,2048,244,635,830,380,978,413,893,2121,239,415,607,339,768,432
Arkansas 2017,8.6,997,2165,233,628,825,401,897,428,901,2159,263,594,843,460,862,477
Baylor 2017,11.87,921,1956,230,478,661,451,878,469,794,1960,222,418,586,351,672,397
Bucknell 2017,-2.48,942,1961,286,497,730,302,901,466,860,2017,216,440,667,347,829,487
Butler 2017,10.23,906,1898,261,522,704,287,804,346,818,1837,231,474,680,293,772,451
UC-Davis 2017,-4.68,873,2008,221,558,828,364,916,513,889,2086,253,475,666,347,894,503
Cincinnati 2017,5.49,969,2116,264,472,688,437,891,361,767,1974,251,423,575,368,794,475
Creighton 2017,8.95,1078,2137,304,404,592,289,934,435,933,2134,259,424,615,379,878,489
Dayton 2017,4.27,820,1763,258,530,768,277,820,376,731,1772,227,437,618,312,798,479
Duke 2017,10.91,1019,2144,311,642,842,390,951,421,959,2218,187,492,693,399,846,447
East Tennessee State 2017,-2.11,960,1967,265,597,850,357,912,519,819,1962,274,526,729,340,783,548
Florida Gulf Coast 2017,-3.42,1007,2017,221,466,664,379,890,421,830,1953,232,464,682,347,738,441
Florida State 2017,8.87,1036,2146,233,568,824,409,915,415,857,2060,259,550,769,382,807,494
Florida 2017,11.01,953,2118,278,620,851,416,915,431,849,2070,198,498,705,375,891,533
Gonzaga 2017,4.13,1149,2280,286,638,890,378,1209,448,875,2400,223,425,646,421,891,475
Iona 2017,-2.47,979,2155,342,513,668,338,912,421,951,2183,280,507,729,429,916,461
Iowa State 2017,11.94,1031,2186,344,423,604,318,901,355,933,2178,270,393,558,416,923,491
Jacksonville State 2017,-3.24,857,1869,258,462,647,355,889,477,816,1955,268,478,663,343,773,381
Kansas State 2017,10.48,869,1883,247,538,775,330,802,453,827,1921,250,468,642,382,789,525
Kansas 2017,12.23,1071,2193,318,535,789,428,965,456,924,2200,268,472,660,401,833,483
Kent State 2017,-1.63,986,2302,257,543,755,539,915,465,931,2139,265,501,713,385,853,502
Kentucky 2017,10.49,1134,2396,267,690,980,470,1042,443,979,2309,235,523,774,388,944,544
Louisville 2017,11.15,952,2085,238,486,708,457,886,374,760,1894,213,510,734,348,791,460
Marquette 2017,8.6,919,1888,336,457,585,280,778,396,859,1871,235,465,667,319,758,418
Maryland 2017,8.29,827,1840,272,512,732,351,822,426,797,1917,212,440,626,383,777,418
Miami (FL) 2017,9.57,813,1800,209,443,617,363,813,417,761,1817,208,386,522,318,725,392
Michigan State 2017,10.5,905,1927,273,432,646,328,947,490,832,2027,229,511,704,349,801,380
Michigan 2017,10.17,1002,2076,361,486,624,280,831,348,958,2060,224,383,560,348,862,478
Middle Tennessee 2017,-0.48,1014,2077,228,441,631,355,918,374,791,1882,219,498,700,286,802,476
Minnesota 2017,8.82,887,2037,209,573,806,378,963,393,857,2142,220,427,626,415,897,429
Mount St. Mary's 2017,-3.51,877,1977,261,431,640,276,806,472,923,2039,190,438,664,427,924,534
Nevada 2017,2.03,933,2082,320,606,859,386,965,386,920,2149,236,420,607,341,888,397
New Mexico State 2017,-3.82,913,1957,252,600,843,436,903,465,827,1972,188,468,686,371,753,466
New Orleans 2017,-5.34,830,1755,139,532,749,386,754,534,792,1793,209,422,614,349,667,521
North Carolina Central 2017,-12.12,910,2005,255,467,684,397,916,406,788,2007,210,373,576,416,809,474
North Carolina-Wilmington 2017,-0.55,1071,2231,336,489,708,422,839,363,938,1964,192,556,777,320,864,504
North Carolina 2017,11.76,1226,2633,283,642,916,630,1118,473,982,2377,319,541,746,362,896,544
North Dakota 2017,-5.45,926,1919,228,498,698,297,849,419,824,1858,215,494,715,310,813,479
Northern Kentucky 2017,-2.84,928,2037,300,503,740,391,928,468,918,2087,227,444,628,322,843,427
Northwestern 2017,8.43,913,2094,256,476,637,386,918,383,817,2025,233,490,732,404,871,430
Notre Dame 2017,9.78,980,2139,334,489,611,334,878,341,914,2118,250,416,565,387,891,456
Oklahoma State 2017,12.22,957,2050,294,620,786,454,761,432,875,1856,235,604,834,345,738,491
Oregon 2017,8.38,1091,2270,334,560,787,412,1019,454,932,2311,273,428,595,408,866,516
Princeton 2017,-1.84,772,1716,298,307,416,247,756,298,652,1568,195,344,499,238,764,394
Providence 2017,7.84,804,1795,239,472,683,294,807,412,810,1840,207,380,562,322,820,454
Purdue 2017,8.79,980,2044,315,515,680,344,978,455,902,2145,242,347,491,313,775,411
Rhode Island 2017,4.62,916,2019,217,528,791,409,892,389,762,1875,166,598,845,373,839,459
Saint Mary's (CA) 2017,2.19,892,1797,293,372,499,324,881,365,738,1792,149,329,476,245,658,318
Seton Hall 2017,9.25,872,1949,202,471,733,439,872,449,811,1872,214,487,677,295,792,403
South Carolina 2017,10.16,924,2197,248,611,874,464,882,480,789,1969,208,628,868,382,922,632
South Dakota State 2017,-0.66,881,1938,318,603,782,316,913,453,963,2140,369,402,557,356,839,400
Southern California 2017,6.4,975,2139,283,583,787,387,899,398,973,2243,301,386,538,408,864,452
Southern Methodist 2017,4.45,914,1934,286,485,696,416,919,377,745,1928,282,328,474,329,706,409
Texas Southern 2017,-7.81,866,2015,205,656,893,401,827,407,940,2113,196,466,682,441,869,473
Troy 2017,-3.36,982,2153,311,614,847,409,953,462,933,2182,295,506,703,380,887,463
UCLA 2017,6.39,1210,2320,354,459,622,343,1043,404,1000,2371,310,409,602,413,844,423
Vanderbilt 2017,10.72,815,1896,346,513,660,286,922,430,862,2028,226,435,622,339,870,379
Vermont 2017,-3.27,943,1909,229,456,651,326,866,392,812,1918,199,351,498,315,751,453
Villanova 2017,9.28,965,1948,311,538,681,316,892,402,846,2018,251,313,445,336,737,475
Virginia Commonwealth 2017,3.77,945,2050,199,527,747,386,889,435,800,1897,202,541,776,334,851,515
Virginia Tech 2017,8.38,887,1813,290,546,741,240,828,398,902,2029,264,397,554,359,787,383
Virginia 2017,10.93,839,1823,232,336,474,297,822,324,658,1653,209,391,559,264,758,432
Wake Forest 2017,9.8,923,1955,268,619,795,349,850,389,891,1948,270,536,740,323,786,385
West Virginia 2017,9.67,1059,2333,275,621,907,534,853,455,826,1948,250,565,827,393,881,740
Wichita State 2017,2.96,992,2114,310,622,848,433,1039,406,754,2000,241,497,718,321,833,488
Winthrop 2017,-6.12,891,1957,313,520,725,316,908,430,811,1990,219,481,666,355,852,462
Wisconsin 2017,9.4,971,2135,283,453,703,460,917,411,822,1992,251,413,559,313,829,473
Xavier 2017,11.51,981,2148,267,607,881,451,966,478,964,2144,283,500,716,327,861,454
Akron 2013,0.18,852,1874,229,436,678,425,720,458,723,1831,176,449,629,358,702,449
Albany (NY) 2013,-4.53,761,1748,213,516,700,345,677,468,787,1848,212,337,514,324,745,438
Arizona 2013,7.47,880,1933,269,541,722,393,779,458,784,1909,211,447,629,321,730,465
Belmont 2013,-0.96,906,1844,279,442,604,306,660,440,725,1748,218,461,651,384,716,572
Boise State 2013,5.27,824,1790,249,446,597,323,665,385,709,1623,211,466,660,240,704,430
Bucknell 2013,-1.96,818,1807,157,484,652,308,834,321,703,1864,177,383,543,300,742,307
Butler 2013,6.08,869,1931,239,518,744,419,794,474,807,1938,201,484,688,322,735,406
University of California 2013,7.77,833,1875,134,418,585,361,773,417,753,1915,189,428,622,384,749,370
Cincinnati 2013,6.93,791,1963,230,450,696,488,731,432,716,1851,171,403,606,367,772,452
Colorado State 2013,5.89,881,1961,180,611,855,493,804,389,767,1852,233,462,674,281,703,380
Colorado 2013,7.95,775,1788,178,502,732,378,750,439,769,1918,224,336,485,371,748,426
Creighton 2013,5.16,942,1882,307,489,644,300,872,443,845,2074,215,369,542,359,740,377
Davidson 2013,-3.45,837,1813,256,560,704,306,742,371,739,1805,155,477,665,328,750,414
Duke 2013,9.54,960,2033,270,588,796,337,782,383,852,2049,160,486,671,415,834,502
Florida Gulf Coast 2013,-2.07,976,2112,247,497,736,412,814,545,866,2133,250,487,708,447,866,580
Florida 2013,6.83,960,2010,300,422,623,381,798,401,725,1897,193,369,567,358,759,522
Georgetown 2013,7.59,737,1627,189,407,599,297,662,407,623,1649,172,388,582,342,681,454
Gonzaga 2013,4.18,961,1934,226,548,777,409,786,393,735,1909,244,381,561,373,672,480
Harvard 2013,0.16,677,1425,191,504,697,219,577,399,707,1601,150,360,496,302,622,409
Illinois 2013,10.08,858,2084,280,469,646,427,671,411,810,1911,232,480,684,392,864,511
Indiana 2013,8.38,951,1971,257,672,904,439,831,469,815,2089,208,398,563,428,686,509
Iona 2013,-0.02,956,2106,283,538,689,395,699,421,938,2083,272,447,669,418,810,475
Iowa State 2013,6.13,962,2111,346,509,696,422,816,460,890,2076,215,491,679,367,812,462
James Madison 2013,-2.28,818,1941,211,499,714,365,699,401,798,1865,221,509,732,368,870,490
Kansas State 2013,6.53,872,2002,238,432,631,470,675,403,750,1792,171,444,646,375,745,493
Kansas 2013,7.54,985,2049,216,596,809,399,955,517,788,2183,236,480,699,436,783,468
La Salle 2013,4.46,871,1931,262,446,605,332,626,390,872,1912,142,371,544,379,813,486
Liberty 2013,-5.8,838,1954,251,562,770,367,797,478,879,2084,212,549,802,435,868,385
Long Island University 2013,-5.8,915,1909,246,601,870,404,679,486,958,2046,235,438,647,403,744,441
Louisville 2013,9.13,1048,2300,230,652,920,531,854,495,825,2089,221,480,730,469,858,730
Marquette 2013,8.58,842,1844,147,551,755,418,698,471,776,1922,223,416,610,407,672,439
Memphis 2013,2.7,976,2071,220,509,771,438,805,523,825,2038,204,481,711,413,792,557
Miami (FL) 2013,7.88,895,1968,254,465,680,357,822,377,795,1987,226,365,562,365,810,425
Michigan State 2013,10.55,882,1921,177,507,710,421,820,489,758,1943,199,414,621,353,736,447
Michigan 2013,10.05,1093,2260,296,450,642,416,830,368,941,2221,242,343,503,396,855,470
Middle Tennessee 2013,-1.52,848,1835,181,528,759,407,740,464,674,1704,164,462,729,341,707,530
Minnesota 2013,10.31,815,1838,184,523,764,501,685,467,720,1813,213,462,666,401,647,438
Mississippi 2013,4.14,977,2230,238,587,866,466,785,395,865,2122,241,438,660,432,919,552
Missouri 2013,6,924,2015,215,525,706,454,812,442,812,2015,234,410,598,373,719,410
Montana 2013,-4.21,760,1635,219,499,651,248,657,391,745,1733,176,430,606,334,710,387
Nevada-Las Vegas 2013,5.71,872,2002,227,525,747,418,863,487,794,2039,203,415,599,361,820,454
New Mexico State 2013,0.7,832,1828,137,554,845,429,806,506,780,1949,193,422,590,372,720,432
New Mexico 2013,6.63,768,1815,221,598,829,335,788,402,760,1944,263,337,500,342,809,445
North Carolina A&T 2013,-6.3,776,1927,215,532,809,387,779,564,763,1965,240,525,804,445,904,589
North Carolina State 2013,7.17,985,1987,184,554,813,396,790,433,899,2145,209,451,621,430,746,400
North Carolina 2013,8.01,1023,2321,272,442,655,478,776,433,918,2170,248,408,581,417,911,558
Northwestern State 2013,-3.77,919,2007,189,532,775,435,698,448,823,1934,169,470,750,453,796,535
Notre Dame 2013,7.22,892,1929,228,438,618,387,759,393,845,2011,191,341,494,368,752,358
Ohio State 2013,9.32,928,2057,227,516,729,378,841,377,776,1963,230,415,580,360,836,493
Oklahoma State 2013,6.73,814,1854,183,560,751,354,756,411,716,1838,204,443,645,376,776,490
Oklahoma 2013,7.09,803,1847,159,495,654,377,689,376,760,1819,205,397,572,363,758,423
Oregon 2013,5.77,944,2110,192,570,809,451,834,555,845,2039,203,459,679,350,811,569
Pacific 2013,1.05,824,1839,225,471,684,333,704,390,760,1799,243,475,667,338,795,449
Pittsburgh 2013,5.63,837,1775,163,445,666,425,642,364,627,1598,172,421,582,316,626,444
Saint Louis 2013,4.28,808,1812,210,562,798,306,726,383,735,1787,157,409,625,340,811,537
Saint Mary's (CA) 2013,3.31,910,1939,273,517,713,422,777,416,763,1820,195,482,669,286,714,409
San Diego State 2013,6.19,839,1916,202,476,697,376,768,410,754,1917,203,366,540,341,787,429
South Dakota State 2013,-3.27,910,1938,270,478,627,331,794,365,867,1952,243,323,465,290,779,388
Southern 2013,-10.31,761,1757,226,475,689,288,747,359,658,1795,161,413,614,371,802,447
Syracuse 2013,8.57,1007,2293,233,569,843,560,820,495,794,2152,246,513,762,511,884,616
Temple 2013,5.2,851,1986,243,511,707,381,676,366,824,1882,196,465,642,358,856,463
UCLA 2013,7.82,961,2131,171,511,706,387,778,391,926,2181,218,357,537,458,875,491
Valparaiso 2013,-1.13,823,1699,253,521,713,303,705,486,745,1795,159,470,652,322,667,441
Villanova 2013,8.53,732,1760,204,639,889,383,733,533,733,1812,245,503,740,346,779,518
Virginia Commonwealth 2013,4.47,1010,2243,281,469,669,479,676,407,811,1825,198,503,736,400,852,709
Western Kentucky 2013,-1.14,837,1959,226,509,755,441,763,537,824,1945,200,516,742,374,815,504
Wichita State 2013,6.09,954,2166,259,553,791,512,843,492,797,2020,238,553,774,355,835,505
Wisconsin 2013,9.73,823,1960,259,369,582,401,801,334,744,1890,136,334,485,325,838,392
Albany (NY) 2014,-5.22,765,1733,163,546,728,343,832,428,775,1848,236,388,537,329,733,397
American 2014,-3.25,748,1527,207,378,535,232,754,464,671,1621,161,448,660,319,643,396
Arizona State 2014,7.41,836,1852,268,546,787,281,891,377,821,1961,175,474,732,385,866,394
Arizona 2014,9.04,996,2123,204,573,870,465,984,387,776,2041,173,500,698,369,812,471
Baylor 2014,10.11,959,2108,280,645,949,525,931,440,927,2179,258,465,688,432,768,394
Brigham Young 2014,5.72,1012,2186,177,730,1055,463,969,395,935,2175,259,577,810,382,871,441
Cal Poly 2014,1.69,754,1850,218,415,603,377,719,303,739,1703,183,502,694,341,809,383
Cincinnati 2014,5.28,805,1893,196,519,733,457,767,377,690,1745,182,424,628,366,712,485
Coastal Carolina 2014,-6.31,861,1969,212,524,758,434,902,473,778,1934,264,506,730,372,803,440
Colorado 2014,8.8,814,1871,181,648,903,401,904,466,856,1986,251,424,603,319,779,422
Connecticut 2014,8.63,971,2163,287,644,829,387,1002,457,878,2241,241,532,801,492,886,518
Creighton 2014,7.17,957,1927,356,486,654,293,899,342,844,1983,234,454,654,347,765,338
Dayton 2014,5.34,935,2018,243,558,819,414,875,442,843,1936,203,589,832,353,805,459
Delaware 2014,-1.1,936,2108,252,658,925,385,879,334,936,2115,219,557,803,429,936,418
Duke 2014,8.48,929,2020,316,571,783,410,797,328,848,1860,138,525,758,357,780,425
Eastern Kentucky 2014,-4.34,881,1810,315,600,798,243,641,359,793,1631,204,621,880,325,785,574
Florida 2014,8.54,945,2056,255,582,871,437,948,418,806,2004,207,434,626,370,821,526
George Washington 2014,4.42,839,1812,187,550,845,394,835,428,788,1895,214,421,632,383,730,442
Gonzaga 2014,5.36,972,1963,255,562,793,343,948,419,806,2027,203,557,784,399,779,422
Harvard 2014,-0.47,786,1691,184,587,811,335,757,365,680,1664,164,428,603,318,686,459
Iowa State 2014,9.88,1062,2239,301,564,814,375,1012,380,954,2272,259,511,698,403,926,418
Iowa 2014,7.43,919,1984,191,660,898,447,885,371,804,1938,229,484,686,361,740,439
Kansas State 2014,8.47,798,1840,198,486,741,406,774,404,723,1774,162,551,805,385,764,416
Kansas 2014,11.4,955,1937,189,665,935,416,920,463,815,1961,219,605,892,373,700,396
Kentucky 2014,9.9,1004,2213,203,781,1146,562,1045,469,933,2271,222,577,836,437,794,428
Louisiana 2014,-0.28,988,2127,246,613,913,464,865,459,907,2032,205,614,885,400,814,483
Louisville 2014,4.8,1051,2232,288,608,920,503,893,391,786,1983,170,518,761,434,851,638
Manhattan 2014,-0.9,828,1837,208,676,1019,415,819,468,739,1809,164,669,956,409,790,515
Massachusetts 2014,6,900,1962,177,525,769,404,863,446,843,1986,165,499,739,400,772,445
Memphis 2014,7.14,958,2009,182,516,801,427,841,449,888,2029,180,441,681,421,771,490
Mercer 2014,-3.42,982,2061,290,582,791,407,931,420,812,2024,236,550,787,399,791,452
Michigan State 2014,9.38,1024,2159,307,515,728,395,1005,430,817,2058,252,605,829,375,833,449
Michigan 2014,9.65,945,1982,319,527,691,316,844,336,905,2035,201,397,543,364,790,398
Milwaukee 2014,-0.44,808,1888,245,604,823,343,839,469,869,1991,204,527,707,373,868,445
Mount St. Mary's 2014,-4.44,843,1923,296,522,706,328,725,388,960,1939,155,491,669,357,850,439
Nebraska 2014,8.5,719,1684,188,511,713,278,781,349,696,1659,186,507,744,319,802,397
New Mexico State 2014,-2.58,936,1918,194,705,1027,428,918,457,863,2153,162,527,720,457,713,397
New Mexico 2014,4.84,847,1851,197,625,863,360,936,361,776,1995,243,453,625,368,747,338
North Carolina Central 2014,-8.03,847,1832,184,635,872,403,794,389,658,1726,186,521,753,382,698,534
North Carolina State 2014,7.44,950,2060,160,501,762,422,817,375,851,1997,196,606,851,453,813,414
North Carolina 2014,8.42,953,2057,146,552,882,483,867,406,810,1949,211,541,807,395,784,462
North Dakota State 2014,-0.02,888,1759,176,540,719,307,774,325,722,1709,222,498,664,290,660,381
Ohio State 2014,8.12,843,1875,200,546,793,346,841,394,761,1873,173,397,558,354,823,502
Oklahoma State 2014,8.34,898,1941,239,693,964,332,871,356,801,1957,211,552,803,409,853,484
Oklahoma 2014,8.97,909,2034,285,601,802,398,844,376,864,1976,236,544,761,369,829,426
Oregon 2014,8.05,928,1977,259,668,865,356,803,389,838,1907,198,647,912,377,748,458
Pittsburgh 2014,7.54,895,1944,183,613,861,432,859,373,771,1872,205,482,682,352,727,440
Providence 2014,7.85,849,1984,218,650,831,432,846,406,893,2017,188,469,681,374,789,383
Saint Joseph's 2014,5.08,840,1789,250,503,780,319,899,409,825,1966,231,417,602,343,780,344
Saint Louis 2014,4.24,829,1869,190,526,755,345,886,431,755,1875,139,456,665,354,828,485
San Diego State 2014,4.86,873,2009,186,598,902,470,894,355,734,1904,174,410,607,370,810,490
Stanford 2014,9,896,1950,208,616,877,347,910,409,844,2006,237,532,743,355,838,413
Stephen F. Austin 2014,-6.76,922,1992,248,569,800,451,735,393,746,1643,148,579,840,293,725,555
Syracuse 2014,7.25,819,1873,167,506,715,446,754,306,685,1669,233,409,612,346,726,455
Tennessee 2014,7.84,927,2048,205,613,852,501,923,388,823,1991,192,445,631,351,757,399
Texas Southern 2014,-10.07,857,1854,217,653,910,386,860,454,936,2075,222,418,607,386,755,374
Texas 2014,9.15,905,2095,178,610,909,528,921,426,819,2039,259,578,835,399,804,395
Tulsa 2014,1.17,835,1899,197,604,894,368,863,394,741,1830,218,599,869,363,851,477
UCLA 2014,7.62,1073,2196,229,628,839,368,940,379,898,2103,301,507,750,377,868,529
Villanova 2014,7.5,870,1907,304,607,848,379,884,406,763,1886,220,515,728,355,782,468
Virginia Commonwealth 2014,4.78,922,2196,260,520,772,479,838,423,808,1869,170,496,742,369,916,638
Virginia 2014,7.86,855,1884,206,533,792,379,933,362,727,1875,203,403,609,321,764,413
Weber State 2014,-4.23,732,1541,222,568,767,265,800,382,753,1763,134,421,599,311,652,291
Western Michigan 2014,-1.45,779,1684,195,620,856,323,820,464,773,1883,225,464,651,385,698,417
Wichita State 2014,1.74,896,1942,250,664,916,419,962,374,746,1911,211,438,674,339,776,435
Wisconsin 2014,10.19,927,2019,297,642,861,337,929,307,915,2135,184,418,579,350,862,370
Wofford 2014,-5.95,808,1804,196,393,592,352,738,351,727,1642,153,447,659,286,760,424
Xavier 2014,8.14,869,1850,174,530,770,379,834,421,797,1851,233,489,732,335,734,381
Akron 2011,-1.02,892,2073,283,457,649,363,875,432,832,2004,194,507,768,425,920,514
Alabama-Birmingham 2011,2.78,756,1725,239,368,513,352,757,387,699,1692,156,386,549,333,702,385
Alabama State 2011,-10.31,728,1841,165,525,870,460,811,551,715,1773,180,624,913,406,829,545
Arizona 2011,7.99,969,2064,296,671,899,408,911,484,940,2115,175,525,774,375,792,475
Little Rock 2011,-2.97,825,1938,242,565,819,377,827,428,811,1867,222,582,819,376,884,497
Belmont 2011,-4.42,944,2045,327,575,781,451,807,480,721,1764,183,553,815,382,755,665
Boston University 2011,-3.85,749,1865,265,507,695,414,835,418,783,1964,239,417,592,435,802,397
Brigham Young 2011,5.76,1019,2267,312,662,865,420,1005,404,902,2174,218,490,711,395,925,533
Bucknell 2011,-3.87,827,1855,234,499,633,270,879,380,747,1888,219,461,661,359,803,400
Butler 2011,5.02,919,2122,289,580,799,431,906,416,845,1994,229,518,771,351,869,472
UC-Santa Barbara 2011,0.12,742,1636,227,459,610,277,761,456,696,1712,227,486,693,356,700,429
Cincinnati 2011,6.1,848,1939,220,496,742,454,783,401,735,1790,171,445,633,351,737,492
Clemson 2011,6.58,810,1827,217,493,703,384,793,449,724,1801,193,445,627,382,740,516
Connecticut 2011,10.44,1053,2429,234,627,822,570,1056,466,973,2478,261,452,665,546,901,472
Duke 2011,8.32,1040,2206,291,622,826,446,953,447,896,2212,176,426,655,473,826,545
Florida State 2011,6.45,827,1903,212,482,725,422,910,541,696,1918,233,484,696,403,764,516
Florida 2011,7.57,968,2083,233,498,744,467,917,452,872,2075,214,387,576,393,788,461
George Mason 2011,1.37,876,1861,227,495,718,364,824,376,761,1847,201,401,591,376,741,454
Georgetown 2011,10.39,809,1703,223,417,568,324,757,433,737,1763,176,473,669,361,638,363
Georgia 2011,6.13,823,1822,156,465,667,407,836,444,741,1866,190,453,648,388,698,396
Gonzaga 2011,4.01,932,1947,203,617,810,398,916,474,786,1947,253,482,685,359,727,503
Hampton 2011,-8.77,746,1843,213,492,759,367,803,412,719,1874,180,452,671,449,868,516
Illinois 2011,11.11,894,1910,232,393,539,342,836,434,780,1931,205,457,632,384,738,413
Indiana State 2011,2.9,769,1793,235,480,676,352,820,477,713,1755,194,572,796,348,786,445
Kansas State 2011,8.41,849,1939,237,542,828,490,790,498,751,1782,178,569,803,350,708,524
Kansas 2011,7.62,1114,2193,271,585,862,449,1026,507,862,2188,225,509,697,397,775,535
Kentucky 2011,8.91,1002,2183,281,560,789,445,975,406,863,2188,210,476,658,431,854,457
Long Island University 2011,-5.77,928,2009,229,645,999,479,899,505,942,2165,208,374,567,428,802,497
Louisville 2011,8.2,949,2097,309,416,627,434,838,459,762,1935,199,536,770,455,813,564
Marquette 2011,8.51,973,2094,191,645,927,457,872,455,939,2142,260,408,618,433,808,515
Memphis 2011,3.14,891,1975,210,532,782,421,825,535,828,1987,205,531,778,445,772,519
Michigan State 2011,11.67,817,1894,220,484,691,407,849,454,787,1861,215,474,716,347,772,411
Michigan 2011,10.68,847,1889,283,351,502,289,826,351,795,1854,222,375,553,335,843,409
Missouri 2011,6.5,983,2145,245,537,727,425,772,431,851,1943,197,536,775,439,827,614
Morehead State 2011,-3.13,851,1874,204,506,751,484,827,525,735,1756,245,447,645,313,679,523
Nevada-Las Vegas 2011,6,842,1836,184,495,718,368,783,414,704,1737,189,480,689,363,743,534
