School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Tennessee Tech,823,1772,179,540,758,361,1015,499
Tennessee,809,1848,229,491,699,382,1159,466
Texas A&M-Corpus Christi,627,1584,141,360,600,326,915,456
Texas A&M,732,1695,162,330,502,348,986,446
Texas-Arlington,842,1884,229,624,888,439,1197,531
Texas Christian,819,1884,239,505,731,357,1006,455
Texas-El Paso,727,1588,144,423,619,269,928,431
Texas-Rio Grande Valley,677,1631,230,409,580,268,882,492
Texas-San Antonio,793,1775,272,481,647,299,967,443
Texas Southern,684,1656,183,470,746,372,1036,560
Texas State,796,1842,245,455,639,361,962,443
Texas Tech,644,1470,142,414,590,242,848,530
Texas NCAA,836,1927,197,601,820,453,1118,426
Toledo,871,1916,217,543,748,382,1104,490
Towson,580,1581,108,379,647,439,1056,580
Troy,721,1758,250,304,450,392,910,347
Tulane,693,1641,184,432,653,336,944,394
Tulsa,710,1577,178,495,727,339,1026,458
UCLA,848,1838,169,398,596,363,1062,395
Utah State,896,1887,208,551,766,337,1154,449
Utah Valley,819,1931,189,478,685,422,1198,418
Utah,606,1496,163,345,518,226,799,435
Valparaiso,786,1682,229,522,730,287,1019,483
Vanderbilt NCAA,885,1921,307,538,770,361,1125,465
Vermont NCAA,848,1914,191,528,714,401,1166,445
Villanova,762,1848,196,546,724,441,1115,447
Virginia Commonwealth NCAA,837,2040,267,507,740,439,1115,411
VMI,892,2006,283,564,784,338,977,438
Virginia Tech,754,1797,205,434,599,369,1010,391
Virginia NCAA,721,1576,155,403,558,253,944,367
Wagner,779,1767,204,513,690,384,968,412
Wake Forest,689,1613,166,485,659,262,893,394
Washington State,860,1836,228,573,808,339,1107,485
Washington,966,2157,217,497,798,510,1294,460
Weber State,825,1797,285,538,661,277,1021,340
West Virginia NCAA,838,1914,174,496,739,493,1135,422
Western Carolina,885,2090,263,470,681,460,1127,459
Western Illinois,744,1626,174,369,538,245,854,375
Western Kentucky NCAA,769,1952,195,539,785,449,1173,534
Western Michigan,801,1841,205,525,741,423,1183,495
Wichita State NCAA,912,1892,230,491,656,359,1157,403
William & Mary,662,1632,218,389,547,262,890,411
Winthrop,754,1793,157,370,564,373,976,393
Wisconsin NCAA,797,1875,285,425,575,349,1112,320
Wofford,777,1792,218,338,508,344,993,382
Wright State,625,1569,189,418,594,260,813,436
Wyoming,710,1585,197,451,610,227,884,388
Xavier NCAA,899,1986,176,569,819,378,1183,448
Yale,678,1571,176,459,646,340,978,410
Youngstown State,746,1729,270,333,514,296,887,347
