School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,op_FTA,opp_ORB,opp_TRB,opp_TOV
Green Bay,-2.83,880,2037,281,438,658,359,1252,485
Hampton,-9.92,751,1729,219,498,733,311,1111,454
Hartford,-5.56,874,1923,250,467,671,393,1278,419
Harvard,-2.24,634,1539,168,406,596,292,960,356
Hawaii,-4.92,726,1618,181,415,622,273,1000,425
High Point,-6.28,754,1715,254,374,552,284,1037,419
Hofstra,-1.90,904,1955,242,404,558,326,1149,339
Holy Cross,-3.51,702,1551,248,336,471,297,1084,508
Houston Baptist,-4.44,837,1825,236,488,662,288,1016,417
Houston,3.42,701,1717,218,457,633,342,1115,437
Howard,-7.97,841,1973,258,495,711,418,1289,426
