Rk,School,SOS,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
221,Northern Colorado,-2.27,1104,2347,334,540,784,356,1430,465
222,Northern Illinois,-1.71,849,1860,169,452,623,314,1102,378
223,Northern Iowa,3.87,720,1714,229,387,537,263,1109,364
224,Northern Kentucky,-4.07,898,1892,258,432,591,309,1176,399
225,Northwestern State,-4.18,692,1678,125,359,588,359,1036,496
226,Northwestern,8.37,773,1813,255,402,538,320,1059,374
227,Notre Dame,7.94,945,2131,300,508,670,384,1324,355
228,Oakland,-3.76,884,1966,275,537,697,326,1203,434
229,Ohio State NCAA,9.03,951,1980,239,450,616,330,1245,399
230,Ohio,-1.65,839,1893,244,412,579,257,1127,412
231,Oklahoma State,9.12,959,2224,296,543,717,463,1348,466
232,Oklahoma NCAA,10.56,954,2063,300,510,684,337,1229,428
233,Old Dominion,-1.27,844,1888,228,431,623,373,1207,332
234,Oral Roberts,1.05,879,2010,220,354,517,440,1226,411
235,Oregon State,4.57,830,1779,192,487,688,332,1119,424
236,Oregon,4.84,986,2155,324,521,683,372,1262,434
237,Pacific,1.80,804,1782,151,521,715,332,1086,368
238,Penn State,7.79,1057,2291,294,507,722,422,1385,463
239,Pennsylvania NCAA,-3.17,893,1948,291,429,651,283,1239,391
240,Pepperdine,1.82,822,1829,186,453,646,324,1077,376
241,Pittsburgh,8.47,678,1673,258,371,534,247,1007,443
242,Portland State,-1.05,1034,2333,300,529,751,488,1306,431
243,Portland,2.43,781,1745,255,404,596,205,1014,383
244,Prairie View,-7.71,890,2043,247,532,793,400,1182,460
245,Presbyterian,-5.53,749,1760,276,350,510,290,1003,368
246,Princeton,-1.97,753,1661,287,313,443,220,949,334
247,Providence NCAA,10.23,899,2037,223,554,787,367,1247,430
248,Purdue NCAA,8.74,1033,2097,353,555,747,311,1295,399
249,Quinnipiac,-4.44,787,1864,303,487,690,330,1142,446
250,Radford NCAA,-4.08,850,2000,277,445,614,414,1244,441
251,Rhode Island NCAA,4.61,954,2096,236,439,630,386,1170,362
252,Rice,-0.04,711,1751,260,432,646,326,1140,460
253,Richmond,3.61,843,1830,222,389,544,248,972,373
254,Rider,-2.62,932,2004,243,513,844,421,1253,424
