Rank,School,eFG%,TOV%,ORB%,FT/FGA
284,Southern California,.538,13.4,30.1,.211
285,SIU Edwardsville,.478,16.7,29.3,.233
286,Southern Illinois,.521,16.7,25.9,.228
287,Southern Methodist,.520,15.4,32.7,.209
288,Southern Mississippi,.510,13.0,21.7,.206
289,Southern Utah,.504,15.5,23.5,.273
290,Southern,.449,15.8,33.4,.279
291,St. Bonaventure NCAA,.516,14.3,29.2,.305
292,St. Francis (NY),.487,15.2,27.2,.223
293,St. John's (NY),.492,14.7,23.7,.223
294,Stanford,.519,17.9,32.8,.285
295,Stephen F. Austin NCAA,.544,18.1,33.3,.280
296,Stetson,.503,13.2,24.1,.170
297,Stony Brook,.484,17.2,30.3,.213
298,Syracuse NCAA,.469,16.2,34.1,.298
299,Temple,.493,13.8,27.7,.174
300,Tennessee-Martin,.506,18.3,28.9,.171
301,Tennessee State,.496,19.2,26.3,.277
302,Tennessee Tech,.502,17.2,28.1,.251
303,Tennessee NCAA,.508,15.2,33.3,.269
304,Texas A&M-Corpus Christi,.482,19.7,29.7,.272
305,Texas A&M NCAA,.514,16.3,33.7,.212
306,Texas-Arlington,.523,17.5,30.4,.240
307,Texas Christian NCAA,.566,15.4,34.0,.241
308,Texas-El Paso,.499,16.0,19.6,.209
309,Texas-Rio Grande Valley,.454,15.4,28.2,.300
310,Texas-San Antonio,.516,14.8,27.4,.199
311,Texas Southern NCAA,.505,15.1,28.2,.311
312,Texas State,.494,17.4,32.5,.241
313,Texas Tech NCAA,.520,15.4,32.3,.276
314,Texas NCAA,.500,14.6,29.3,.219
315,Toledo,.551,14.7,27.7,.273
316,Towson,.522,15.4,35.1,.240
317,Troy,.515,15.4,27.3,.252
318,Tulane,.515,16.5,27.3,.246
319,Tulsa,.507,16.1,32.0,.302
320,UCLA NCAA,.537,14.5,28.3,.256
321,Utah State,.538,16.7,25.6,.232
322,Utah Valley,.552,17.3,32.1,.280
323,Utah,.545,15.8,23.8,.261
324,Valparaiso,.510,18.5,27.7,.274
325,Vanderbilt,.518,15.4,28.7,.269
326,Vermont,.560,15.2,26.3,.316
327,Villanova NCAA,.595,13.3,29.1,.229
328,Virginia Commonwealth,.526,16.3,29.0,.194
329,VMI,.463,18.4,25.4,.204
330,Virginia Tech NCAA,.577,15.3,23.7,.259
331,Virginia NCAA,.527,12.3,26.9,.184
332,Wagner,.496,16.4,36.3,.255
333,Wake Forest,.505,16.2,30.5,.235
334,Washington State,.541,17.3,24.6,.182
335,Washington,.517,16.4,28.9,.257
336,Weber State,.573,15.5,19.1,.268
337,West Virginia NCAA,.504,13.3,36.5,.240
338,Western Carolina,.473,18.0,30.5,.216
339,Western Illinois,.525,16.1,21.0,.203
340,Western Kentucky,.540,14.5,29.7,.285
341,Western Michigan,.499,13.3,30.6,.249
342,Wichita State NCAA,.551,14.1,35.5,.257
343,William & Mary,.605,15.6,22.4,.269
344,Winthrop,.559,17.0,27.2,.250
345,Wisconsin,.509,14.7,28.4,.228
346,Wofford,.566,16.0,25.2,.220
347,Wright State NCAA,.491,16.3,28.8,.256
348,Wyoming,.523,16.1,19.2,.298
349,Xavier NCAA,.559,15.2,29.9,.320
350,Yale,.533,16.5,26.0,.221
351,Youngstown State,.483,16.2,35.6,.176


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">CBB at Sports Reference</a>: <a href="https://www.sports-reference.com/cbb/seasons/2018-advanced-school-stats.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#adv_school_stats">View Original Table</a><br>Generated 10/14/2018.
