Rank,Team,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Opp FG,Opp FGA,Opp FG%,Opp 2P,Opp 2PA,Opp 2P%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Opp PTS,gameid,Win?
11006,maine,200,29,56,0.518,23,40,0.575,6,16,0.375,10,14,0.714,8,22,30,13,9,0,23,19,74,33,63,0.524,22,37,0.595,11,26,0.423,9,18,0.5,12,20,32,18,16,4,15,12,86,12720189,0
11007,maryland-baltimore-county,200,33,63,0.524,22,37,0.595,11,26,0.423,9,18,0.5,12,20,32,18,16,4,15,12,86,29,56,0.518,23,40,0.575,6,16,0.375,10,14,0.714,8,22,30,13,9,0,23,19,74,12720189,1
11008,oklahoma,200,29,71,0.408,21,44,0.477,8,27,0.296,7,9,0.778,13,23,36,12,4,3,12,18,73,30,54,0.556,22,35,0.629,8,19,0.421,12,22,0.545,7,28,35,15,8,12,17,11,80,127201810,0
11009,alabama,200,30,54,0.556,22,35,0.629,8,19,0.421,12,22,0.545,7,28,35,15,8,12,17,11,80,29,71,0.408,21,44,0.477,8,27,0.296,7,9,0.778,13,23,36,12,4,3,12,18,73,127201810,1
11010,st-johns-ny,200,16,55,0.291,11,34,0.324,5,21,0.238,8,14,0.571,8,22,30,10,4,2,11,19,45,22,55,0.4,10,25,0.4,12,30,0.4,14,19,0.737,8,31,39,14,6,2,11,18,70,127201811,0
11011,butler,200,22,55,0.4,10,25,0.4,12,30,0.4,14,19,0.737,8,31,39,14,6,2,11,18,70,16,55,0.291,11,34,0.324,5,21,0.238,8,14,0.571,8,22,30,10,4,2,11,19,45,127201811,1
11012,american,200,28,54,0.519,23,34,0.676,5,20,0.25,8,10,0.8,6,17,23,8,8,3,17,17,69,29,55,0.527,20,35,0.571,9,20,0.45,16,18,0.889,7,19,26,13,10,5,13,11,83,127201812,0
11013,colgate,200,29,55,0.527,20,35,0.571,9,20,0.45,16,18,0.889,7,19,26,13,10,5,13,11,83,28,54,0.519,23,34,0.676,5,20,0.25,8,10,0.8,6,17,23,8,8,3,17,17,69,127201812,1
11014,northeastern,200,25,59,0.424,20,41,0.488,5,18,0.278,12,18,0.667,6,23,29,16,12,1,13,17,67,26,56,0.464,22,44,0.5,4,12,0.333,12,18,0.667,9,30,39,11,8,6,16,17,68,127201813,0
11015,drexel,200,26,56,0.464,22,44,0.5,4,12,0.333,12,18,0.667,9,30,39,11,8,6,16,17,68,25,59,0.424,20,41,0.488,5,18,0.278,12,18,0.667,6,23,29,16,12,1,13,17,67,127201813,1
11016,virginia,200,26,66,0.394,20,44,0.455,6,22,0.273,7,9,0.778,7,20,27,12,8,3,5,18,65,27,56,0.482,23,41,0.561,4,15,0.267,5,11,0.455,10,32,42,15,2,5,16,14,63,127201814,1
11017,duke,200,27,56,0.482,23,41,0.561,4,15,0.267,5,11,0.455,10,32,42,15,2,5,16,14,63,26,66,0.394,20,44,0.455,6,22,0.273,7,9,0.778,7,20,27,12,8,3,5,18,65,127201814,0
11018,drake,200,23,51,0.451,13,26,0.5,10,25,0.4,17,22,0.773,3,22,25,15,11,2,17,21,73,24,48,0.5,17,36,0.472,7,12,0.583,22,25,0.88,5,25,30,17,7,3,20,22,77,127201815,0
11019,evansville,200,24,48,0.5,17,36,0.472,7,12,0.583,22,25,0.88,5,25,30,17,7,3,20,22,77,23,51,0.451,13,26,0.5,10,25,0.4,17,22,0.773,3,22,25,15,11,2,17,21,73,127201815,1
11020,massachusetts,200,28,69,0.406,20,45,0.444,8,24,0.333,5,10,0.5,14,19,33,17,3,2,9,17,69,29,52,0.558,17,27,0.63,12,25,0.48,12,14,0.857,3,26,29,26,5,5,9,12,82,127201816,0
11021,fordham,200,29,52,0.558,17,27,0.63,12,25,0.48,12,14,0.857,3,26,29,26,5,5,9,12,82,28,69,0.406,20,45,0.444,8,24,0.333,5,10,0.5,14,19,33,17,3,2,9,17,69,127201816,1
11022,virginia-commonwealth,200,28,66,0.424,20,39,0.513,8,27,0.296,20,27,0.741,18,26,44,15,3,3,15,25,84,23,54,0.426,19,34,0.559,4,20,0.2,26,34,0.765,6,18,24,10,10,2,10,20,76,127201817,1
11023,george-mason,200,23,54,0.426,19,34,0.559,4,20,0.2,26,34,0.765,6,18,24,10,10,2,10,20,76,28,66,0.424,20,39,0.513,8,27,0.296,20,27,0.741,18,26,44,15,3,3,15,25,84,127201817,0
11024,texas-state,200,20,57,0.351,18,41,0.439,2,16,0.125,8,8,1,11,21,32,8,11,2,10,11,50,23,47,0.489,19,31,0.613,4,16,0.25,4,9,0.444,5,23,28,10,5,6,16,10,54,127201818,0
11025,georgia-state,200,23,47,0.489,19,31,0.613,4,16,0.25,4,9,0.444,5,23,28,10,5,6,16,10,54,20,57,0.351,18,41,0.439,2,16,0.125,8,8,1,11,21,32,8,11,2,10,11,50,127201818,1
11026,lafayette,200,22,49,0.449,11,25,0.44,11,24,0.458,19,25,0.76,8,20,28,10,2,1,13,18,74,33,59,0.559,24,29,0.828,9,30,0.3,10,11,0.909,5,20,25,22,8,5,6,21,85,127201819,0
11027,holy-cross,200,33,59,0.559,24,29,0.828,9,30,0.3,10,11,0.909,5,20,25,22,8,5,6,21,85,22,49,0.449,11,25,0.44,11,24,0.458,19,25,0.76,8,20,28,10,2,1,13,18,74,127201819,1
11028,georgia,200,20,54,0.37,18,36,0.5,2,18,0.111,9,12,0.75,8,26,34,10,2,3,11,16,51,18,47,0.383,15,33,0.455,3,14,0.214,17,19,0.895,2,20,22,7,7,4,6,13,56,127201820,0
11029,kansas-state,200,18,47,0.383,15,33,0.455,3,14,0.214,17,19,0.895,2,20,22,7,7,4,6,13,56,20,54,0.37,18,36,0.5,2,18,0.111,9,12,0.75,8,26,34,10,2,3,11,16,51,127201820,1
11030,cleveland-state,200,17,50,0.34,11,28,0.393,6,22,0.273,7,11,0.636,2,23,25,10,6,5,9,15,47,26,54,0.481,19,37,0.514,7,17,0.412,11,16,0.688,8,30,38,12,4,3,12,12,70,127201821,0
11031,milwaukee,200,26,54,0.481,19,37,0.514,7,17,0.412,11,16,0.688,8,30,38,12,4,3,12,12,70,17,50,0.34,11,28,0.393,6,22,0.273,7,11,0.636,2,23,25,10,6,5,9,15,47,127201821,1
11032,charleston-southern,225,25,53,0.472,16,33,0.485,9,20,0.45,25,30,0.833,13,21,34,13,4,7,18,21,84,25,61,0.41,16,40,0.4,9,21,0.429,22,25,0.88,13,17,30,16,13,2,12,20,81,127201822,1
11033,radford,225,25,61,0.41,16,40,0.4,9,21,0.429,22,25,0.88,13,17,30,16,13,2,12,20,81,25,53,0.472,16,33,0.485,9,20,0.45,25,30,0.833,13,21,34,13,4,7,18,21,84,127201822,0
11034,kennesaw-state,200,27,60,0.45,23,46,0.5,4,14,0.286,23,28,0.821,15,20,35,17,3,0,7,17,81,28,60,0.467,17,33,0.515,11,27,0.407,13,16,0.813,13,18,31,14,3,0,10,19,80,127201823,1
11035,south-carolina-upstate,200,28,60,0.467,17,33,0.515,11,27,0.407,13,16,0.813,13,18,31,14,3,0,10,19,80,27,60,0.45,23,46,0.5,4,14,0.286,23,28,0.821,15,20,35,17,3,0,7,17,81,127201823,0
11036,mississippi,200,25,64,0.391,17,43,0.395,8,21,0.381,14,17,0.824,11,25,36,7,2,2,10,19,72,28,63,0.444,18,32,0.563,10,31,0.323,19,23,0.826,8,26,34,13,6,4,7,15,85,127201824,0
11037,texas,200,28,63,0.444,18,32,0.563,10,31,0.323,19,23,0.826,8,26,34,13,6,4,7,15,85,25,64,0.391,17,43,0.395,8,21,0.381,14,17,0.824,11,25,36,7,2,2,10,19,72,127201824,1
11038,elon,200,27,57,0.474,15,31,0.484,12,26,0.462,17,21,0.81,3,24,27,17,6,1,9,21,83,26,64,0.406,19,47,0.404,7,17,0.412,17,23,0.739,15,21,36,8,6,5,10,21,76,127201825,1
11039,towson,200,26,64,0.406,19,47,0.404,7,17,0.412,17,23,0.739,15,21,36,8,6,5,10,21,76,27,57,0.474,15,31,0.484,12,26,0.462,17,21,0.81,3,24,27,17,6,1,9,21,83,127201825,0
11040,northern-illinois,200,29,58,0.5,24,40,0.6,5,18,0.278,9,10,0.9,12,14,26,7,3,1,10,16,72,28,52,0.538,18,29,0.621,10,23,0.435,13,17,0.765,8,14,22,15,5,3,8,12,79,127201826,0
11041,western-michigan,200,28,52,0.538,18,29,0.621,10,23,0.435,13,17,0.765,8,14,22,15,5,3,8,12,79,29,58,0.5,24,40,0.6,5,18,0.278,9,10,0.9,12,14,26,7,3,1,10,16,72,127201826,1
11042,campbell,200,26,60,0.433,23,41,0.561,3,19,0.158,9,10,0.9,3,25,28,10,6,1,13,17,64,29,56,0.518,22,37,0.595,7,19,0.368,10,13,0.769,3,27,30,11,6,3,12,10,75,127201827,0
11043,winthrop,200,29,56,0.518,22,37,0.595,7,19,0.368,10,13,0.769,3,27,30,11,6,3,12,10,75,26,60,0.433,23,41,0.561,3,19,0.158,9,10,0.9,3,25,28,10,6,1,13,17,64,127201827,1
11044,arkansas-state,200,31,61,0.508,21,45,0.467,10,16,0.625,21,27,0.778,8,22,30,15,9,4,9,18,93,31,63,0.492,17,35,0.486,14,28,0.5,12,24,0.5,14,22,36,14,5,2,13,22,88,127201828,1
11045,appalachian-state,200,31,63,0.492,17,35,0.486,14,28,0.5,12,24,0.5,14,22,36,14,5,2,13,22,88,31,61,0.508,21,45,0.467,10,16,0.625,21,27,0.778,8,22,30,15,9,4,9,18,93,127201828,0
11046,texas-pan-american,200,31,61,0.508,27,49,0.551,4,12,0.333,21,30,0.7,11,22,33,21,12,1,16,22,87,28,58,0.483,23,45,0.511,5,13,0.385,20,26,0.769,7,17,24,13,8,4,15,21,81,127201829,1
11047,chicago-state,200,28,58,0.483,23,45,0.511,5,13,0.385,20,26,0.769,7,17,24,13,8,4,15,21,81,31,61,0.508,27,49,0.551,4,12,0.333,21,30,0.7,11,22,33,21,12,1,16,22,87,127201829,0
11048,arkansas-little-rock,200,21,55,0.382,9,25,0.36,12,30,0.4,8,15,0.533,6,21,27,13,3,3,9,23,62,24,48,0.5,18,39,0.462,6,9,0.667,18,29,0.621,5,27,32,18,6,1,11,13,72,127201830,0
11049,coastal-carolina,200,24,48,0.5,18,39,0.462,6,9,0.667,18,29,0.621,5,27,32,18,6,1,11,13,72,21,55,0.382,9,25,0.36,12,30,0.4,8,15,0.533,6,21,27,13,3,3,9,23,62,127201830,1
11050,james-madison,200,22,58,0.379,16,36,0.444,6,22,0.273,9,13,0.692,13,22,35,8,2,2,8,18,59,22,52,0.423,15,33,0.455,7,19,0.368,15,19,0.789,7,20,27,7,1,3,6,13,66,127201831,0
11051,college-of-charleston,200,22,52,0.423,15,33,0.455,7,19,0.368,15,19,0.789,7,20,27,7,1,3,6,13,66,22,58,0.379,16,36,0.444,6,22,0.273,9,13,0.692,13,22,35,8,2,2,8,18,59,127201831,1
11052,longwood,200,21,53,0.396,16,34,0.471,5,19,0.263,10,13,0.769,6,25,31,9,8,6,9,16,57,23,56,0.411,19,39,0.487,4,17,0.235,10,16,0.625,9,25,34,10,3,6,12,14,60,127201832,0
11053,gardner-webb,200,23,56,0.411,19,39,0.487,4,17,0.235,10,16,0.625,9,25,34,10,3,6,12,14,60,21,53,0.396,16,34,0.471,5,19,0.263,10,13,0.769,6,25,31,9,8,6,9,16,57,127201832,1
11054,new-orleans,200,26,57,0.456,22,42,0.524,4,15,0.267,12,22,0.545,9,16,25,12,10,3,8,19,68,20,43,0.465,16,29,0.552,4,14,0.286,14,19,0.737,5,26,31,10,2,6,20,17,58,127201833,1
11055,incarnate-word,200,20,43,0.465,16,29,0.552,4,14,0.286,14,19,0.737,5,26,31,10,2,6,20,17,58,26,57,0.456,22,42,0.524,4,15,0.267,12,22,0.545,9,16,25,12,10,3,8,19,68,127201833,0
11056,troy,200,26,53,0.491,19,30,0.633,7,23,0.304,10,11,0.909,7,18,25,10,7,3,19,24,69,23,55,0.418,14,29,0.483,9,26,0.346,26,31,0.839,12,17,29,15,9,3,14,12,81,127201834,0
11057,louisiana-lafayette,200,23,55,0.418,14,29,0.483,9,26,0.346,26,31,0.839,12,17,29,15,9,3,14,12,81,26,53,0.491,19,30,0.633,7,23,0.304,10,11,0.909,7,18,25,10,7,3,19,24,69,127201834,1
11058,south-alabama,200,25,54,0.463,13,23,0.565,12,31,0.387,12,16,0.75,5,20,25,13,6,2,11,17,74,29,55,0.527,20,34,0.588,9,21,0.429,16,22,0.727,6,27,33,16,5,0,11,17,83,127201835,0
11059,louisiana-monroe,200,29,55,0.527,20,34,0.588,9,21,0.429,16,22,0.727,6,27,33,16,5,0,11,17,83,25,54,0.463,13,23,0.565,12,31,0.387,12,16,0.75,5,20,25,13,6,2,11,17,74,127201835,1
11060,eastern-michigan,200,25,51,0.49,20,37,0.541,5,14,0.357,3,6,0.5,7,26,33,11,8,6,12,11,58,17,56,0.304,9,31,0.29,8,25,0.32,6,11,0.545,10,20,30,12,8,0,12,11,48,127201836,1
11061,miami-oh,200,17,56,0.304,9,31,0.29,8,25,0.32,6,11,0.545,10,20,30,12,8,0,12,11,48,25,51,0.49,20,37,0.541,5,14,0.357,3,6,0.5,7,26,33,11,8,6,12,11,58,127201836,0
11062,western-illinois,200,28,60,0.467,23,47,0.489,5,13,0.385,8,12,0.667,5,21,26,7,4,2,7,15,69,31,56,0.554,23,36,0.639,8,20,0.4,10,14,0.714,5,22,27,11,3,4,9,12,80,127201837,0
11063,north-dakota-state,200,31,56,0.554,23,36,0.639,8,20,0.4,10,14,0.714,5,22,27,11,3,4,9,12,80,28,60,0.467,23,47,0.489,5,13,0.385,8,12,0.667,5,21,26,7,4,2,7,15,69,127201837,1
11064,florida-atlantic,200,24,60,0.4,18,41,0.439,6,19,0.316,9,11,0.818,10,27,37,13,2,2,8,15,63,25,59,0.424,17,36,0.472,8,23,0.348,4,8,0.5,9,25,34,15,2,4,5,12,62,127201838,1
11065,rice,200,25,59,0.424,17,36,0.472,8,23,0.348,4,8,0.5,9,25,34,15,2,4,5,12,62,24,60,0.4,18,41,0.439,6,19,0.316,9,11,0.818,10,27,37,13,2,2,8,15,63,127201838,0
11066,new-hampshire,200,17,52,0.327,10,25,0.4,7,27,0.259,16,22,0.727,8,33,41,11,2,6,10,14,57,19,55,0.345,15,43,0.349,4,12,0.333,10,19,0.526,7,27,34,7,4,4,6,16,52,127201839,1
11067,binghamton,200,19,55,0.345,15,43,0.349,4,12,0.333,10,19,0.526,7,27,34,7,4,4,6,16,52,17,52,0.327,10,25,0.4,7,27,0.259,16,22,0.727,8,33,41,11,2,6,10,14,57,127201839,0
11068,kent-state,200,28,61,0.459,19,34,0.559,9,27,0.333,19,26,0.731,11,28,39,9,5,2,13,17,84,27,65,0.415,19,37,0.514,8,28,0.286,14,18,0.778,9,26,35,14,6,3,12,20,76,127201840,1
11069,central-michigan,200,27,65,0.415,19,37,0.514,8,28,0.286,14,18,0.778,9,26,35,14,6,3,12,20,76,28,61,0.459,19,34,0.559,9,27,0.333,19,26,0.731,11,28,39,9,5,2,13,17,84,127201840,0
11070,south-carolina-state,200,24,69,0.348,19,52,0.365,5,17,0.294,12,14,0.857,8,20,28,7,10,2,8,23,65,23,48,0.479,12,26,0.462,11,22,0.5,16,21,0.762,7,25,32,10,3,3,23,19,73,127201841,0
11071,coppin-state,200,23,48,0.479,12,26,0.462,11,22,0.5,16,21,0.762,7,25,32,10,3,3,23,19,73,24,69,0.348,19,52,0.365,5,17,0.294,12,14,0.857,8,20,28,7,10,2,8,23,65,127201841,1
11072,columbia,200,29,66,0.439,22,41,0.537,7,25,0.28,16,23,0.696,14,19,33,12,7,3,12,20,81,26,54,0.481,18,34,0.529,8,20,0.4,22,25,0.88,9,18,27,19,5,1,15,20,82,127201842,0
11073,cornell,200,26,54,0.481,18,34,0.529,8,20,0.4,22,25,0.88,9,18,27,19,5,1,15,20,82,29,66,0.439,22,41,0.537,7,25,0.28,16,23,0.696,14,19,33,12,7,3,12,20,81,127201842,1
11074,savannah-state,200,40,82,0.488,20,30,0.667,20,52,0.385,6,10,0.6,13,17,30,24,12,3,6,14,106,31,56,0.554,23,39,0.59,8,17,0.471,16,20,0.8,9,24,33,13,2,2,22,11,86,127201843,1
11075,delaware-state,200,31,56,0.554,23,39,0.59,8,17,0.471,16,20,0.8,9,24,33,13,2,2,22,11,86,40,82,0.488,20,30,0.667,20,52,0.385,6,10,0.6,13,17,30,24,12,3,6,14,106,127201843,0
11076,miami-fl,225,34,68,0.5,17,34,0.5,17,34,0.5,9,13,0.692,8,20,28,17,4,3,7,25,94,33,55,0.6,24,36,0.667,9,19,0.474,28,39,0.718,7,28,35,16,2,2,7,15,103,127201844,0
11077,florida-state,225,33,55,0.6,24,36,0.667,9,19,0.474,28,39,0.718,7,28,35,16,2,2,7,15,103,34,68,0.5,17,34,0.5,17,34,0.5,9,13,0.692,8,20,28,17,4,3,7,25,94,127201844,1
11078,western-carolina,200,20,58,0.345,16,35,0.457,4,23,0.174,22,28,0.786,7,23,30,9,3,2,10,24,66,32,62,0.516,17,26,0.654,15,36,0.417,21,28,0.75,6,30,36,21,5,2,7,21,100,127201845,0
11079,furman,200,32,62,0.516,17,26,0.654,15,36,0.417,21,28,0.75,6,30,36,21,5,2,7,21,100,20,58,0.345,16,35,0.457,4,23,0.174,22,28,0.786,7,23,30,9,3,2,10,24,66,127201845,1
11080,iupui,200,18,54,0.333,11,35,0.314,7,19,0.368,19,28,0.679,8,24,32,14,8,3,15,23,62,25,55,0.455,21,40,0.525,4,15,0.267,17,28,0.607,9,32,41,13,10,9,13,20,71,127201846,0
11081,illinois-chicago,200,25,55,0.455,21,40,0.525,4,15,0.267,17,28,0.607,9,32,41,13,10,9,13,20,71,18,54,0.333,11,35,0.314,7,19,0.368,19,28,0.679,8,24,32,14,8,3,15,23,62,127201846,1
11082,tennessee,200,24,62,0.387,12,32,0.375,12,30,0.4,8,10,0.8,12,33,45,14,6,1,11,21,68,17,51,0.333,13,34,0.382,4,17,0.235,7,17,0.412,7,22,29,9,6,3,11,14,45,127201847,1
11083,iowa-state,200,17,51,0.333,13,34,0.382,4,17,0.235,7,17,0.412,7,22,29,9,6,3,11,14,45,24,62,0.387,12,32,0.375,12,30,0.4,8,10,0.8,12,33,45,14,6,1,11,21,68,127201847,0
11084,texas-am,200,28,64,0.438,23,46,0.5,5,18,0.278,7,11,0.636,13,25,38,15,4,6,13,15,68,30,62,0.484,18,36,0.5,12,26,0.462,7,11,0.636,9,22,31,16,5,6,8,11,79,127201848,0
11085,kansas,200,30,62,0.484,18,36,0.5,12,26,0.462,7,11,0.636,9,22,31,16,5,6,8,11,79,28,64,0.438,23,46,0.5,5,18,0.278,7,11,0.636,13,25,38,15,4,6,13,15,68,127201848,1
11086,central-connecticut-state,225,34,70,0.486,28,49,0.571,6,21,0.286,15,23,0.652,11,24,35,17,9,2,11,21,89,29,59,0.492,17,31,0.548,12,28,0.429,24,30,0.8,9,28,37,15,3,3,16,23,94,127201849,0
11087,long-island-university,225,29,59,0.492,17,31,0.548,12,28,0.429,24,30,0.8,9,28,37,15,3,3,16,23,94,34,70,0.486,28,49,0.571,6,21,0.286,15,23,0.652,11,24,35,17,9,2,11,21,89,127201849,1
11088,san-diego,200,30,52,0.577,18,26,0.692,12,26,0.462,17,22,0.773,3,21,24,24,5,3,8,16,89,30,63,0.476,23,47,0.489,7,16,0.438,15,17,0.882,11,20,31,16,5,3,11,20,82,127201850,1
11089,loyola-marymount,200,30,63,0.476,23,47,0.489,7,16,0.438,15,17,0.882,11,20,31,16,5,3,11,20,82,30,52,0.577,18,26,0.692,12,26,0.462,17,22,0.773,3,21,24,24,5,3,8,16,89,127201850,0
11090,army,200,21,51,0.412,13,25,0.52,8,26,0.308,18,23,0.783,5,23,28,10,4,2,15,26,68,27,53,0.509,22,44,0.5,5,9,0.556,20,29,0.69,6,24,30,10,8,3,13,20,79,127201851,0
11091,loyola-md,200,27,53,0.509,22,44,0.5,5,9,0.556,20,29,0.69,6,24,30,10,8,3,13,20,79,21,51,0.412,13,25,0.52,8,26,0.308,18,23,0.783,5,23,28,10,4,2,15,26,68,127201851,1
11092,howard,200,30,56,0.536,19,28,0.679,11,28,0.393,14,20,0.7,6,16,22,15,8,1,10,15,85,29,58,0.5,19,29,0.655,10,29,0.345,7,7,1,11,17,28,14,3,2,20,16,75,127201852,1
11093,maryland-eastern-shore,200,29,58,0.5,19,29,0.655,10,29,0.345,7,7,1,11,17,28,14,3,2,20,16,75,30,56,0.536,19,28,0.679,11,28,0.393,14,20,0.7,6,16,22,15,8,1,10,15,85,127201852,0
11094,citadel,200,25,54,0.463,11,19,0.579,14,35,0.4,12,14,0.857,10,17,27,17,10,4,16,19,76,22,54,0.407,14,25,0.56,8,29,0.276,22,28,0.786,13,19,32,12,8,2,16,13,74,127201853,1
11095,mercer,200,22,54,0.407,14,25,0.56,8,29,0.276,22,28,0.786,13,19,32,12,8,2,16,13,74,25,54,0.463,11,19,0.579,14,35,0.4,12,14,0.857,10,17,27,17,10,4,16,19,76,127201853,0
11096,marist,200,26,62,0.419,14,27,0.519,12,35,0.343,14,15,0.933,5,22,27,12,0,3,10,18,78,32,60,0.533,22,39,0.564,10,21,0.476,17,20,0.85,5,28,33,13,6,3,8,16,91,127201854,0
11097,monmouth,200,32,60,0.533,22,39,0.564,10,21,0.476,17,20,0.85,5,28,33,13,6,3,8,16,91,26,62,0.419,14,27,0.519,12,35,0.343,14,15,0.933,5,22,27,12,0,3,10,18,78,127201854,1
11098,southern-utah,200,28,63,0.444,21,38,0.553,7,25,0.28,3,6,0.5,8,26,34,10,2,3,12,20,66,22,56,0.393,14,36,0.389,8,20,0.4,17,25,0.68,9,27,36,7,6,1,10,14,69,127201855,0
11099,montana-state,200,22,56,0.393,14,36,0.389,8,20,0.4,17,25,0.68,9,27,36,7,6,1,10,14,69,28,63,0.444,21,38,0.553,7,25,0.28,3,6,0.5,8,26,34,10,2,3,12,20,66,127201855,1
11100,st-francis-ny,200,26,60,0.433,13,27,0.481,13,33,0.394,7,10,0.7,7,20,27,13,6,1,12,20,72,28,50,0.56,18,30,0.6,10,20,0.5,20,27,0.741,5,24,29,17,9,3,11,13,86,127201856,0
11101,mount-st-marys,200,28,50,0.56,18,30,0.6,10,20,0.5,20,27,0.741,5,24,29,17,9,3,11,13,86,26,60,0.433,13,27,0.481,13,33,0.394,7,10,0.7,7,20,27,13,6,1,12,20,72,127201856,1
11102,lipscomb,225,26,56,0.464,21,43,0.488,5,13,0.385,29,34,0.853,5,29,34,15,5,2,16,19,86,30,61,0.492,22,35,0.629,8,26,0.308,11,19,0.579,6,26,32,16,12,6,14,25,79,127201857,1
11103,njit,225,30,61,0.492,22,35,0.629,8,26,0.308,11,19,0.579,6,26,32,16,12,6,14,25,79,26,56,0.464,21,43,0.488,5,13,0.385,29,34,0.853,5,29,34,15,5,2,16,19,86,127201857,0
11104,high-point,200,28,59,0.475,23,43,0.535,5,16,0.313,16,29,0.552,12,20,32,13,8,0,13,22,77,28,51,0.549,20,31,0.645,8,20,0.4,20,28,0.714,6,23,29,18,10,4,15,21,84,127201858,0
11105,north-carolina-asheville,200,28,51,0.549,20,31,0.645,8,20,0.4,20,28,0.714,6,23,29,18,10,4,15,21,84,28,59,0.475,23,43,0.535,5,16,0.313,16,29,0.552,12,20,32,13,8,0,13,22,77,127201858,1
11106,north-carolina-central,200,24,55,0.436,17,32,0.531,7,23,0.304,9,20,0.45,10,24,34,15,7,3,16,24,64,25,51,0.49,20,31,0.645,5,20,0.25,15,23,0.652,6,21,27,16,7,1,13,18,70,127201859,0
11107,north-carolina-at,200,25,51,0.49,20,31,0.645,5,20,0.25,15,23,0.652,6,21,27,16,7,1,13,18,70,24,55,0.436,17,32,0.531,7,23,0.304,9,20,0.45,10,24,34,15,7,3,16,24,64,127201859,1
11108,central-arkansas,200,35,63,0.556,26,39,0.667,9,24,0.375,16,18,0.889,8,25,33,22,6,5,15,23,95,30,60,0.5,26,48,0.542,4,12,0.333,14,24,0.583,7,19,26,14,5,4,15,19,78,127201860,1
11109,northwestern-state,200,30,60,0.5,26,48,0.542,4,12,0.333,14,24,0.583,7,19,26,14,5,4,15,19,78,35,63,0.556,26,39,0.667,9,24,0.375,16,18,0.889,8,25,33,22,6,5,15,23,95,127201860,0
11110,rutgers,200,16,51,0.314,12,34,0.353,4,17,0.235,7,9,0.778,1,24,25,10,7,3,15,15,43,24,55,0.436,19,37,0.514,5,18,0.278,7,12,0.583,8,31,39,12,7,5,14,13,60,127201861,0
11111,penn-state,200,24,55,0.436,19,37,0.514,5,18,0.278,7,12,0.583,8,31,39,12,7,5,14,13,60,16,51,0.314,12,34,0.353,4,17,0.235,7,9,0.778,1,24,25,10,7,3,15,15,43,127201861,1
11112,syracuse,200,19,54,0.352,16,39,0.41,3,15,0.2,19,26,0.731,14,31,45,14,6,11,11,16,60,18,65,0.277,9,31,0.29,9,34,0.265,10,14,0.714,12,24,36,14,6,9,9,18,55,127201862,1
11113,pittsburgh,200,18,65,0.277,9,31,0.29,9,34,0.265,10,14,0.714,12,24,36,14,6,9,9,18,55,19,54,0.352,16,39,0.41,3,15,0.2,19,26,0.731,14,31,45,14,6,11,11,16,60,127201862,0
11114,sacramento-state,200,23,47,0.489,20,36,0.556,3,11,0.273,22,31,0.71,6,26,32,14,9,5,17,17,71,22,64,0.344,15,39,0.385,7,25,0.28,10,14,0.714,13,22,35,11,5,3,18,28,61,127201863,1
11115,portland-state,200,22,64,0.344,15,39,0.385,7,25,0.28,10,14,0.714,13,22,35,11,5,3,18,28,61,23,47,0.489,20,36,0.556,3,11,0.273,22,31,0.71,6,26,32,14,9,5,17,17,71,127201863,0
11116,liberty,200,29,47,0.617,18,26,0.692,11,21,0.524,12,17,0.706,5,24,29,18,7,1,10,15,81,22,54,0.407,9,24,0.375,13,30,0.433,9,11,0.818,6,15,21,13,3,0,9,16,66,127201864,1
11117,presbyterian,200,22,54,0.407,9,24,0.375,13,30,0.433,9,11,0.818,6,15,21,13,3,0,9,16,66,29,47,0.617,18,26,0.692,11,21,0.524,12,17,0.706,5,24,29,18,7,1,10,15,81,127201864,0
11118,dayton,200,24,51,0.471,15,29,0.517,9,22,0.409,8,9,0.889,7,22,29,16,3,3,15,20,65,23,52,0.442,14,34,0.412,9,18,0.5,20,25,0.8,8,16,24,12,6,3,4,15,75,127201865,0
11119,saint-louis,200,23,52,0.442,14,34,0.412,9,18,0.5,20,25,0.8,8,16,24,12,6,3,4,15,75,24,51,0.471,15,29,0.517,9,22,0.409,8,9,0.889,7,22,29,16,3,3,15,20,65,127201865,1
11120,north-florida,200,25,63,0.397,20,40,0.5,5,23,0.217,18,26,0.692,7,37,44,12,5,5,13,12,73,24,70,0.343,21,50,0.42,3,20,0.15,14,19,0.737,8,29,37,17,10,4,11,23,65,127201866,1
11121,stetson,200,24,70,0.343,21,50,0.42,3,20,0.15,14,19,0.737,8,29,37,17,10,4,11,23,65,25,63,0.397,20,40,0.5,5,23,0.217,18,26,0.692,7,37,44,12,5,5,13,12,73,127201866,0
11122,texas-christian,200,35,63,0.556,27,40,0.675,8,23,0.348,0,0,,12,21,33,18,5,3,12,10,78,31,59,0.525,20,34,0.588,11,25,0.44,8,9,0.889,6,12,18,13,6,2,7,11,81,127201867,0
